order_id,customer_id,order_date,order_status
O000058,C05167,2024-01-29 00:00:00,Delivered
O000059,C01929,2023-08-23 00:00:00,Delivered
O000060,C00383,2024-02-15 00:00:00,Delivered
O000061,C00727,2023-06-07 00:00:00,Delivered
O000062,C08127,2023-05-27 00:00:00,Delivered
O000063,C05465,2023-05-01 00:00:00,Delivered
O000064,C05812,2024-02-25 00:00:00,Delivered
O000065,C09700,2023-02-23 00:00:00,Delivered
O000066,C04268,2024-06-16 00:00:00,Delivered
O000067,C09086,2023-03-15 00:00:00,Delivered
O000068,C07031,2024-10-03 00:00:00,Delivered
O000069,C09727,2024-01-09 00:00:00,Delivered
O000070,C03343,2024-10-18 00:00:00,Delivered
O000071,C03563,2024-11-29 00:00:00,Cancelled
O000072,C07045,2023-06-25 00:00:00,Out for Delivery
O000073,C07780,2023-11-27 00:00:00,Delivered
O000074,C04816,2023-08-03 00:00:00,Delivered
O000075,C03029,2024-03-05 00:00:00,Delivered
O000076,C02595,2024-05-08 00:00:00,Delivered
O000077,C06375,2024-12-19 00:00:00,Returned
O000078,C04641,2023-02-26 00:00:00,Delivered
O000079,C08466,2023-07-29 00:00:00,Out for Delivery
O000080,C05503,2024-09-01 00:00:00,Delivered
O000081,C04242,2024-01-01 00:00:00,Delivered
O000082,C00892,2023-05-28 00:00:00,Delivered
O000083,C00299,2024-04-27 00:00:00,Delivered
O000084,C01068,2023-02-14 00:00:00,Delivered
O000085,C06176,2023-11-10 00:00:00,Delivered
O000086,C00367,2024-02-27 00:00:00,Delivered
O000087,C05006,2023-04-19 00:00:00,Delivered
O000088,C06308,2024-05-22 00:00:00,Delivered
O000089,C02149,2023-10-21 00:00:00,Delivered
O000090,C08796,2024-05-22 00:00:00,Delivered
O000091,C01632,2023-11-20 00:00:00,Delivered
O000092,C06059,2023-01-18 00:00:00,Delivered
O000093,C08059,2024-02-29 00:00:00,Delivered
O000094,C09470,2024-01-21 00:00:00,Delivered
O000095,C09377,2023-07-07 00:00:00,Delivered
O000096,C09092,2023-05-03 00:00:00,Delivered
O000097,C05089,2023-06-20 00:00:00,Cancelled
O000098,C01012,2023-10-17 00:00:00,Delivered
O000099,C06563,2024-01-10 00:00:00,Delivered
O000100,C05298,2023-03-23 00:00:00,Delivered
O000101,C01223,2024-12-30 00:00:00,Out for Delivery
O000102,C06984,2023-02-21 00:00:00,Delivered
O000103,C02902,2024-12-26 00:00:00,Delivered
O000104,C06997,2024-11-28 00:00:00,Out for Delivery
O000105,C05422,2024-12-29 00:00:00,Delivered
O000106,C09771,2024-09-25 00:00:00,Delivered
O000107,C06152,2023-05-18 00:00:00,Delivered
O000108,C04556,2023-04-10 00:00:00,Returned
O000109,C08900,2024-11-04 00:00:00,Delivered
O000110,C04949,2024-06-19 00:00:00,Delivered
O000111,C00696,2024-07-04 00:00:00,Delivered
O000112,C06378,2024-01-05 00:00:00,Out for Delivery
O000113,C09150,2024-01-27 00:00:00,Delivered
O000114,C06675,2024-09-19 00:00:00,Delivered
O000115,C01909,2024-12-09 00:00:00,Delivered
O000116,C09546,2023-08-16 00:00:00,Cancelled
O000117,C06250,2024-07-05 00:00:00,Delivered
O000118,C05938,2024-05-05 00:00:00,Delivered
O000119,C01478,2023-06-24 00:00:00,Returned
O000120,C08328,2024-04-29 00:00:00,Delivered
O000121,C00194,2024-11-25 00:00:00,Delivered
O000122,C05052,2024-04-30 00:00:00,Cancelled
O000123,C08828,2024-02-01 00:00:00,Delivered
O000124,C01043,2023-08-21 00:00:00,Returned
O000125,C00850,2023-09-18 00:00:00,Delivered
O000126,C00857,2024-06-03 00:00:00,Returned
O000127,C02303,2024-12-31 00:00:00,Delivered
O000128,C03793,2023-11-22 00:00:00,Delivered
O000129,C05368,2024-10-11 00:00:00,Delivered
O000130,C04616,2023-07-08 00:00:00,Delivered
O000131,C09613,2023-08-12 00:00:00,Returned
O000132,C09759,2023-03-27 00:00:00,Delivered
O000133,C01047,2023-06-04 00:00:00,Delivered
O000134,C09550,2023-12-10 00:00:00,Delivered
O000135,C05490,2023-08-08 00:00:00,Delivered
O000136,C04722,2023-05-03 00:00:00,Delivered
O000137,C06948,2024-02-29 00:00:00,Delivered
O000138,C02914,2024-11-03 00:00:00,Delivered
O000139,C09202,2023-12-01 00:00:00,Delivered
O000140,C00712,2024-09-20 00:00:00,Delivered
O000141,C02495,2024-06-11 00:00:00,Delivered
O000142,C04977,2023-03-12 00:00:00,Delivered
O000143,C01264,2023-05-02 00:00:00,Delivered
O000144,C00473,2023-04-03 00:00:00,Delivered
O000145,C02535,2024-01-20 00:00:00,Cancelled
O000146,C05494,2024-01-14 00:00:00,Cancelled
O000147,C04167,2023-06-04 00:00:00,Delivered
O000148,C07308,2024-11-17 00:00:00,Returned
O000149,C04473,2023-03-08 00:00:00,Returned
O000150,C05106,2024-01-02 00:00:00,Delivered
O000151,C08544,2024-07-02 00:00:00,Delivered
O000152,C04756,2024-03-18 00:00:00,Delivered
O000153,C08371,2023-01-22 00:00:00,Cancelled
O000154,C00415,2024-12-25 00:00:00,Delivered
O000155,C05249,2023-06-09 00:00:00,Delivered
O000156,C05496,2024-12-21 00:00:00,Cancelled
O000157,C08224,2024-01-13 00:00:00,Cancelled
O000158,C06300,2023-10-11 00:00:00,Out for Delivery
O000159,C03309,2024-05-12 00:00:00,Delivered
O000160,C09164,2023-04-20 00:00:00,Delivered
O000161,C02744,2023-08-02 00:00:00,Delivered
O000162,C04295,2024-07-25 00:00:00,Delivered
O000163,C03752,2024-03-01 00:00:00,Delivered
O000164,C00544,2023-06-29 00:00:00,Delivered
O000165,C06023,2023-10-02 00:00:00,Returned
O000166,C05627,2024-07-31 00:00:00,Delivered
O000167,C09772,2024-04-02 00:00:00,Delivered
O000168,C03019,2024-02-26 00:00:00,Delivered
O000169,C08013,2023-02-08 00:00:00,Cancelled
O000170,C05675,2024-02-25 00:00:00,Delivered
O000171,C04747,2023-10-18 00:00:00,Cancelled
O000172,C03160,2023-05-30 00:00:00,Delivered
O000173,C00533,2024-12-28 00:00:00,Out for Delivery
O000174,C08867,2023-04-01 00:00:00,Delivered
O000175,C06982,2023-02-14 00:00:00,Delivered
O000176,C09755,2024-02-25 00:00:00,Delivered
O000177,C04034,2024-08-01 00:00:00,Delivered
O000178,C07105,2023-04-04 00:00:00,Delivered
O000179,C01525,2023-11-29 00:00:00,Cancelled
O000180,C00139,2023-01-08 00:00:00,Delivered
O000181,C04226,2024-10-04 00:00:00,Delivered
O000182,C09369,2024-12-03 00:00:00,Delivered
O000183,C02461,2023-01-10 00:00:00,Delivered
O000184,C08399,2024-01-31 00:00:00,Delivered
O000185,C08129,2024-04-22 00:00:00,Cancelled
O000186,C05373,2024-04-02 00:00:00,Returned
O000187,C05929,2024-01-06 00:00:00,Cancelled
O000188,C05416,2024-01-30 00:00:00,Delivered
O000189,C03088,2024-08-12 00:00:00,Delivered
O000190,C08139,2024-03-02 00:00:00,Delivered
O000191,C06694,2024-12-21 00:00:00,Delivered
O000192,C04621,2023-12-12 00:00:00,Delivered
O000193,C06129,2024-09-26 00:00:00,Cancelled
O000194,C00113,2024-08-16 00:00:00,Delivered
O000195,C09869,2024-07-17 00:00:00,Returned
O000196,C00475,2024-08-23 00:00:00,Delivered
O000197,C01002,2024-01-02 00:00:00,Delivered
O000198,C03526,2023-05-12 00:00:00,Delivered
O000199,C06649,2023-05-18 00:00:00,Delivered
O000200,C05573,2023-04-10 00:00:00,Delivered
O000201,C01590,2024-01-08 00:00:00,Cancelled
O000202,C00413,2024-06-05 00:00:00,Delivered
O000203,C00549,2023-09-02 00:00:00,Delivered
O000204,C02658,2023-10-10 00:00:00,Delivered
O000205,C07872,2024-03-04 00:00:00,Delivered
O000206,C06881,2024-07-20 00:00:00,Delivered
O000207,C07304,2023-01-06 00:00:00,Delivered
O000208,C04813,2023-04-02 00:00:00,Delivered
O000209,C00876,2024-09-29 00:00:00,Delivered
O000210,C01088,2023-01-08 00:00:00,Delivered
O000211,C02557,2024-07-30 00:00:00,Delivered
O000212,C07109,2024-05-22 00:00:00,Delivered
O000213,C04650,2024-06-23 00:00:00,Delivered
O000214,C01892,2023-12-16 00:00:00,Cancelled
O000215,C07341,2023-02-06 00:00:00,Out for Delivery
O000216,C04231,2023-07-27 00:00:00,Out for Delivery
O000217,C09395,2023-04-05 00:00:00,Delivered
O000218,C01257,2024-11-10 00:00:00,Delivered
O000219,C03822,2024-10-30 00:00:00,Delivered
O000220,C05616,2024-05-19 00:00:00,Out for Delivery
O000221,C00669,2023-12-09 00:00:00,Returned
O000222,C03719,2024-10-30 00:00:00,Delivered
O000223,C05048,2024-08-29 00:00:00,Out for Delivery
O000224,C04003,2024-10-02 00:00:00,Delivered
O000225,C08040,2024-01-19 00:00:00,Delivered
O000226,C03410,2024-02-16 00:00:00,Returned
O000227,C05524,2023-08-02 00:00:00,Delivered
O000228,C03016,2024-06-03 00:00:00,Delivered
O000229,C03359,2024-01-20 00:00:00,Out for Delivery
O000230,C03809,2023-09-15 00:00:00,Out for Delivery
O000231,C01311,2023-03-07 00:00:00,Cancelled
O000232,C02244,2023-12-31 00:00:00,Delivered
O000233,C01661,2024-10-27 00:00:00,Delivered
O000234,C00807,2024-03-17 00:00:00,Out for Delivery
O000235,C04864,2023-08-05 00:00:00,Delivered
O000236,C00423,2023-12-20 00:00:00,Delivered
O000237,C06621,2024-08-06 00:00:00,Delivered
O000238,C01637,2023-10-10 00:00:00,Delivered
O000239,C06311,2024-07-25 00:00:00,Delivered
O000240,C02315,2023-12-14 00:00:00,Delivered
O000241,C04039,2024-10-01 00:00:00,Delivered
O000242,C01024,2024-08-18 00:00:00,Cancelled
O000243,C02424,2024-11-29 00:00:00,Delivered
O000244,C01190,2023-04-04 00:00:00,Delivered
O000245,C01937,2024-01-12 00:00:00,Delivered
O000246,C03146,2024-03-15 00:00:00,Out for Delivery
O000247,C03968,2023-04-26 00:00:00,Delivered
O000248,C04768,2023-06-10 00:00:00,Cancelled
O000249,C01708,2023-12-17 00:00:00,Delivered
O000250,C09508,2024-10-03 00:00:00,Delivered
O000251,C07101,2024-09-07 00:00:00,Returned
O000252,C06879,2023-01-08 00:00:00,Delivered
O000253,C08115,2023-02-10 00:00:00,Delivered
O000254,C06077,2024-01-08 00:00:00,Delivered
O000255,C01536,2023-01-25 00:00:00,Cancelled
O000256,C09315,2024-07-05 00:00:00,Delivered
O000257,C08868,2024-06-16 00:00:00,Out for Delivery
O000258,C07040,2023-07-19 00:00:00,Delivered
O000259,C04833,2023-04-13 00:00:00,Delivered
O000260,C00157,2024-11-18 00:00:00,Cancelled
O000261,C05829,2024-01-23 00:00:00,Delivered
O000262,C04944,2023-11-17 00:00:00,Delivered
O000263,C08020,2023-02-06 00:00:00,Delivered
O000264,C04155,2023-06-09 00:00:00,Delivered
O000265,C06777,2023-08-02 00:00:00,Delivered
O000266,C05962,2023-03-11 00:00:00,Delivered
O000267,C03250,2023-04-23 00:00:00,Delivered
O000268,C01331,2023-11-04 00:00:00,Delivered
O000269,C03144,2024-07-08 00:00:00,Returned
O000270,C05107,2023-12-06 00:00:00,Cancelled
O000271,C00930,2023-09-08 00:00:00,Delivered
O000272,C04454,2023-04-16 00:00:00,Delivered
O000273,C07097,2023-09-15 00:00:00,Delivered
O000274,C05964,2024-01-14 00:00:00,Delivered
O000275,C02236,2024-05-26 00:00:00,Delivered
O000276,C03003,2024-10-07 00:00:00,Delivered
O000277,C04959,2023-10-09 00:00:00,Delivered
O000278,C01730,2023-10-28 00:00:00,Delivered
O000279,C06306,2023-06-17 00:00:00,Delivered
O000280,C07978,2024-06-04 00:00:00,Cancelled
O000281,C02149,2024-10-14 00:00:00,Delivered
O000282,C04681,2023-11-27 00:00:00,Delivered
O000283,C01891,2023-06-19 00:00:00,Delivered
O000284,C02045,2024-10-04 00:00:00,Delivered
O000285,C00938,2023-10-03 00:00:00,Delivered
O000286,C00449,2024-08-16 00:00:00,Delivered
O000287,C03689,2024-03-09 00:00:00,Delivered
O000288,C07358,2023-02-12 00:00:00,Delivered
O000289,C02374,2023-03-19 00:00:00,Out for Delivery
O000290,C01423,2024-06-29 00:00:00,Cancelled
O000291,C07637,2023-10-17 00:00:00,Delivered
O000292,C00684,2023-03-05 00:00:00,Delivered
O000293,C04155,2024-12-04 00:00:00,Out for Delivery
O000294,C01477,2024-11-17 00:00:00,Delivered
O000295,C02677,2024-12-30 00:00:00,Cancelled
O000296,C04902,2024-08-20 00:00:00,Out for Delivery
O000297,C03632,2023-06-09 00:00:00,Delivered
O000298,C04868,2024-10-11 00:00:00,Delivered
O000299,C05882,2023-02-05 00:00:00,Cancelled
O000300,C03634,2024-05-30 00:00:00,Delivered
O000301,C03421,2023-11-08 00:00:00,Delivered
O000302,C04588,2024-09-28 00:00:00,Delivered
O000303,C03004,2024-12-28 00:00:00,Returned
O000304,C02479,2023-11-23 00:00:00,Delivered
O000305,C07749,2024-05-01 00:00:00,Delivered
O000306,C02960,2023-06-11 00:00:00,Delivered
O000307,C07244,2023-03-06 00:00:00,Delivered
O000308,C08985,2023-09-19 00:00:00,Delivered
O000309,C05636,2023-05-05 00:00:00,Delivered
O000310,C04695,2024-11-20 00:00:00,Delivered
O000311,C06387,2023-02-10 00:00:00,Delivered
O000312,C03749,2024-05-30 00:00:00,Out for Delivery
O000313,C05817,2023-12-25 00:00:00,Delivered
O000314,C05541,2024-08-08 00:00:00,Delivered
O000315,C08674,2024-08-02 00:00:00,Delivered
O000316,C01023,2023-08-14 00:00:00,Out for Delivery
O000317,C07729,2024-04-15 00:00:00,Delivered
O000318,C04130,2023-10-08 00:00:00,Delivered
O000319,C09458,2023-12-24 00:00:00,Cancelled
O000320,C09091,2023-12-09 00:00:00,Delivered
O000321,C09957,2023-04-18 00:00:00,Delivered
O000322,C01152,2023-08-17 00:00:00,Cancelled
O000323,C08732,2023-08-01 00:00:00,Delivered
O000324,C01344,2023-07-10 00:00:00,Delivered
O000325,C06993,2023-04-14 00:00:00,Returned
O000326,C07413,2024-03-05 00:00:00,Delivered
O000327,C01499,2024-08-11 00:00:00,Delivered
O000328,C01637,2024-10-16 00:00:00,Delivered
O000329,C09849,2024-06-13 00:00:00,Delivered
O000330,C04072,2023-08-12 00:00:00,Out for Delivery
O000331,C02351,2024-03-23 00:00:00,Delivered
O000332,C02315,2024-10-30 00:00:00,Delivered
O000333,C00028,2023-02-26 00:00:00,Returned
O000334,C04644,2024-09-17 00:00:00,Delivered
O000335,C08822,2024-05-05 00:00:00,Delivered
O000336,C00157,2023-12-31 00:00:00,Delivered
O000337,C04780,2023-02-07 00:00:00,Delivered
O000338,C04030,2024-07-23 00:00:00,Cancelled
O000339,C00939,2024-07-08 00:00:00,Out for Delivery
O000340,C06703,2024-02-25 00:00:00,Delivered
O000341,C01266,2023-11-19 00:00:00,Cancelled
O000342,C04066,2024-01-23 00:00:00,Delivered
O000343,C03959,2023-09-04 00:00:00,Out for Delivery
O000344,C03455,2024-01-30 00:00:00,Delivered
O000345,C07036,2024-08-09 00:00:00,Delivered
O000346,C09297,2024-11-27 00:00:00,Delivered
O000347,C05894,2024-12-13 00:00:00,Out for Delivery
O000348,C09226,2023-05-27 00:00:00,Delivered
O000349,C04925,2024-06-19 00:00:00,Delivered
O000350,C05935,2023-02-22 00:00:00,Delivered
O000351,C03480,2023-06-03 00:00:00,Delivered
O000352,C09850,2023-03-31 00:00:00,Delivered
O000353,C00933,2024-05-07 00:00:00,Returned
O000354,C02714,2024-03-01 00:00:00,Delivered
O000355,C05972,2023-07-10 00:00:00,Delivered
O000356,C02120,2023-02-10 00:00:00,Delivered
O000357,C06633,2024-03-03 00:00:00,Delivered
O000358,C02185,2023-12-15 00:00:00,Cancelled
O000359,C07978,2023-01-12 00:00:00,Delivered
O000360,C00611,2023-01-13 00:00:00,Cancelled
O000361,C04658,2023-02-16 00:00:00,Delivered
O000362,C08502,2024-06-08 00:00:00,Delivered
O000363,C02388,2024-05-05 00:00:00,Delivered
O000364,C05119,2024-06-08 00:00:00,Delivered
O000365,C03668,2023-03-06 00:00:00,Delivered
O000366,C05479,2024-06-01 00:00:00,Delivered
O000367,C07921,2023-07-30 00:00:00,Delivered
O000368,C05755,2023-08-27 00:00:00,Delivered
O000369,C07855,2024-12-11 00:00:00,Delivered
O000370,C07465,2023-01-13 00:00:00,Delivered
O000371,C07878,2024-10-06 00:00:00,Cancelled
O000372,C07247,2024-08-02 00:00:00,Cancelled
O000373,C07792,2023-05-25 00:00:00,Delivered
O000374,C00642,2023-07-27 00:00:00,Delivered
O000375,C02008,2024-12-27 00:00:00,Out for Delivery
O000376,C09450,2024-08-13 00:00:00,Delivered
O000377,C06622,2024-01-14 00:00:00,Cancelled
O000378,C01446,2023-07-10 00:00:00,Delivered
O000379,C05514,2024-05-09 00:00:00,Delivered
O000380,C02857,2023-07-21 00:00:00,Delivered
O000381,C04454,2024-09-18 00:00:00,Delivered
O000382,C00600,2024-07-09 00:00:00,Delivered
O000383,C00799,2024-03-21 00:00:00,Delivered
O000384,C02307,2024-10-01 00:00:00,Delivered
O000385,C03795,2024-02-10 00:00:00,Delivered
O000386,C01200,2023-10-05 00:00:00,Delivered
O000387,C07761,2024-05-16 00:00:00,Delivered
O000388,C04806,2023-12-13 00:00:00,Delivered
O000389,C09277,2023-10-10 00:00:00,Delivered
O000390,C08786,2023-08-21 00:00:00,Delivered
O000391,C00087,2024-07-08 00:00:00,Delivered
O000392,C08616,2024-06-20 00:00:00,Returned
O000393,C01014,2024-08-23 00:00:00,Delivered
O000394,C02723,2023-01-21 00:00:00,Delivered
O000395,C06390,2023-10-19 00:00:00,Delivered
O000396,C08631,2023-03-08 00:00:00,Delivered
O000397,C05822,2023-12-30 00:00:00,Out for Delivery
O000398,C05500,2024-12-27 00:00:00,Delivered
O000399,C01087,2024-10-03 00:00:00,Delivered
O000400,C05756,2023-11-26 00:00:00,Delivered
O000401,C05259,2023-01-29 00:00:00,Returned
O000402,C03154,2023-02-22 00:00:00,Delivered
O000403,C07636,2023-07-25 00:00:00,Out for Delivery
O000404,C07793,2024-02-24 00:00:00,Delivered
O000405,C02859,2024-04-26 00:00:00,Out for Delivery
O000406,C07766,2023-02-27 00:00:00,Out for Delivery
O000407,C04095,2023-05-17 00:00:00,Returned
O000408,C01862,2024-10-21 00:00:00,Delivered
O000409,C08207,2023-08-03 00:00:00,Delivered
O000410,C03412,2023-02-10 00:00:00,Delivered
O000411,C02058,2024-06-07 00:00:00,Cancelled
O000412,C08598,2024-03-15 00:00:00,Delivered
O000413,C04447,2023-08-18 00:00:00,Out for Delivery
O000414,C06302,2023-01-24 00:00:00,Delivered
O000415,C08699,2024-06-17 00:00:00,Delivered
O000416,C06426,2023-05-21 00:00:00,Delivered
O000417,C01871,2024-03-25 00:00:00,Delivered
O000418,C05188,2023-01-07 00:00:00,Delivered
O000419,C00652,2024-12-05 00:00:00,Delivered
O000420,C07615,2023-03-08 00:00:00,Delivered
O000421,C08374,2024-06-13 00:00:00,Delivered
O000422,C06387,2024-11-20 00:00:00,Delivered
O000423,C05659,2023-03-15 00:00:00,Cancelled
O000424,C03809,2023-03-28 00:00:00,Delivered
O000425,C04514,2023-06-17 00:00:00,Delivered
O000426,C07341,2023-07-25 00:00:00,Delivered
O000427,C07320,2023-09-16 00:00:00,Delivered
O000428,C08984,2024-02-03 00:00:00,Delivered
O000429,C08825,2024-01-22 00:00:00,Delivered
O000430,C01255,2023-03-04 00:00:00,Returned
O000431,C07467,2024-07-15 00:00:00,Delivered
O000432,C01621,2023-06-25 00:00:00,Delivered
O000433,C09853,2023-09-21 00:00:00,Delivered
O000434,C07720,2024-03-10 00:00:00,Delivered
O000435,C05242,2024-06-08 00:00:00,Returned
O000436,C09055,2024-06-05 00:00:00,Delivered
O000437,C09822,2023-03-08 00:00:00,Delivered
O000438,C02376,2024-05-09 00:00:00,Delivered
O000439,C01651,2023-10-19 00:00:00,Out for Delivery
O000440,C01950,2024-06-18 00:00:00,Out for Delivery
O000441,C05950,2024-03-02 00:00:00,Cancelled
O000442,C03893,2023-08-31 00:00:00,Returned
O000443,C08715,2024-11-21 00:00:00,Delivered
O000444,C06577,2024-05-25 00:00:00,Delivered
O000445,C00769,2023-02-05 00:00:00,Delivered
O000446,C02303,2024-11-27 00:00:00,Delivered
O000447,C08050,2023-03-02 00:00:00,Delivered
O000448,C09579,2024-11-09 00:00:00,Delivered
O000449,C05862,2023-03-30 00:00:00,Delivered
O000450,C08003,2023-11-01 00:00:00,Delivered
O000451,C02411,2024-09-05 00:00:00,Delivered
O000452,C00132,2023-07-22 00:00:00,Delivered
O000453,C02770,2024-10-17 00:00:00,Delivered
O000454,C06007,2024-05-04 00:00:00,Delivered
O000455,C00559,2024-07-20 00:00:00,Delivered
O000456,C02154,2024-11-05 00:00:00,Delivered
O000457,C03967,2023-01-03 00:00:00,Out for Delivery
O000458,C03372,2023-02-25 00:00:00,Delivered
O000459,C03836,2024-10-03 00:00:00,Delivered
O000460,C06709,2023-09-24 00:00:00,Delivered
O000461,C09937,2023-10-10 00:00:00,Delivered
O000462,C06599,2023-04-14 00:00:00,Delivered
O000463,C05783,2024-10-23 00:00:00,Cancelled
O000464,C09995,2024-07-02 00:00:00,Delivered
O000465,C02013,2024-12-12 00:00:00,Delivered
O000466,C03112,2023-05-01 00:00:00,Delivered
O000467,C00476,2023-07-23 00:00:00,Delivered
O000468,C09841,2023-07-09 00:00:00,Delivered
O000469,C06092,2024-02-17 00:00:00,Delivered
O000470,C01308,2023-03-31 00:00:00,Delivered
O000471,C00353,2023-06-24 00:00:00,Delivered
O000472,C05730,2023-08-03 00:00:00,Out for Delivery
O000473,C08338,2023-01-16 00:00:00,Cancelled
O000474,C00907,2023-06-14 00:00:00,Delivered
O000475,C06763,2023-03-15 00:00:00,Delivered
O000476,C08009,2024-07-12 00:00:00,Out for Delivery
O000477,C02765,2024-12-08 00:00:00,Out for Delivery
O000478,C09657,2023-09-13 00:00:00,Delivered
O000479,C03592,2023-10-10 00:00:00,Out for Delivery
O000480,C04204,2023-05-21 00:00:00,Delivered
O000481,C03368,2024-11-16 00:00:00,Delivered
O000482,C07823,2024-11-27 00:00:00,Delivered
O000483,C01799,2024-02-02 00:00:00,Delivered
O000484,C01832,2023-10-08 00:00:00,Out for Delivery
O000485,C07785,2024-03-01 00:00:00,Delivered
O000486,C07075,2023-12-13 00:00:00,Delivered
O000487,C00353,2024-05-04 00:00:00,Delivered
O000488,C01107,2024-12-06 00:00:00,Delivered
O000489,C01978,2024-02-23 00:00:00,Delivered
O000490,C05130,2023-02-26 00:00:00,Delivered
O000491,C01052,2023-10-18 00:00:00,Delivered
O000492,C00374,2024-01-22 00:00:00,Delivered
O000493,C02000,2023-09-27 00:00:00,Cancelled
O000494,C00765,2024-02-04 00:00:00,Out for Delivery
O000495,C05270,2023-12-12 00:00:00,Out for Delivery
O000496,C03052,2023-01-07 00:00:00,Delivered
O000497,C09384,2023-09-18 00:00:00,Delivered
O000498,C02083,2023-10-04 00:00:00,Delivered
O000499,C02039,2024-01-20 00:00:00,Delivered
O000500,C09773,2023-11-11 00:00:00,Cancelled
O000501,C05450,2023-09-11 00:00:00,Cancelled
O000502,C00041,2024-10-01 00:00:00,Delivered
O000503,C08382,2024-11-15 00:00:00,Delivered
O000504,C08491,2023-08-29 00:00:00,Cancelled
O000505,C02999,2024-10-02 00:00:00,Delivered
O000506,C03996,2024-12-29 00:00:00,Delivered
O000507,C07227,2024-03-26 00:00:00,Cancelled
O000508,C09791,2024-07-18 00:00:00,Delivered
O000509,C06073,2023-07-28 00:00:00,Cancelled
O000510,C02402,2023-12-29 00:00:00,Delivered
O000511,C01088,2024-05-23 00:00:00,Delivered
O000512,C03149,2024-12-25 00:00:00,Delivered
O000513,C08742,2023-04-04 00:00:00,Delivered
O000514,C01979,2024-01-18 00:00:00,Delivered
O000515,C05737,2023-05-18 00:00:00,Delivered
O000516,C09441,2024-09-25 00:00:00,Delivered
O000517,C00024,2024-06-01 00:00:00,Delivered
O000518,C03344,2023-01-14 00:00:00,Delivered
O000519,C06624,2023-04-04 00:00:00,Cancelled
O000520,C08566,2023-01-28 00:00:00,Delivered
O000521,C01127,2023-04-17 00:00:00,Delivered
O000522,C02972,2023-03-09 00:00:00,Delivered
O000523,C06309,2023-05-06 00:00:00,Delivered
O000524,C00075,2024-03-11 00:00:00,Delivered
O000525,C00796,2024-12-25 00:00:00,Cancelled
O000526,C09364,2024-02-04 00:00:00,Delivered
O000527,C06856,2024-12-22 00:00:00,Delivered
O000528,C07192,2024-06-07 00:00:00,Delivered
O000529,C04657,2024-08-08 00:00:00,Cancelled
O000530,C01717,2024-03-22 00:00:00,Cancelled
O000531,C09732,2023-08-09 00:00:00,Delivered
