transaction_id,order_id,product_id,quantity,amount,payment_mode
T000254,O008216,P00997,1,70,Cash on Delivery
T000255,O009954,P00295,2,1080,UPI
T000256,O017475,P01116,1,250,Debit Card
T000257,O001525,P00343,1,230,UPI
T000258,O003344,P00850,2,460,UPI
T000259,O002767,P00863,5,2800,UPI
T000260,O014786,P00679,2,1300,Debit Card
T000261,O008605,P00515,4,880,UPI
T000262,O003553,P00679,2,1300,Debit Card
T000263,O016296,P00381,2,400,UPI
T000264,O002697,P00563,4,320,UPI
T000265,O007483,P01088,5,2650,UPI
T000266,O000516,P00480,5,800,Cash on Delivery
T000267,O018015,P00385,4,240,Wallet
T000268,O004042,P00550,1,270,UPI
T000269,O016394,P00148,5,450,UPI
T000270,O006813,P01050,5,2550,UPI
T000271,O001271,P00386,5,3850,Cash on Delivery
T000272,O014895,P00756,5,650,UPI
T000273,O004593,P00906,4,1360,UPI
T000274,O009320,P01140,4,800,UPI
T000275,O017996,P00047,2,1540,Wallet
T000276,O015655,P00787,4,840,UPI
T000277,O009395,P00629,4,640,UPI
T000278,O004793,P01009,1,160,Net Banking
T000279,O002248,P00429,1,210,UPI
T000280,O015888,P00185,3,750,Net Banking
T000281,O009884,P00449,5,750,UPI
T000282,O010886,P01050,5,2550,Debit Card
T000283,O017938,P01004,3,120,Wallet
T000284,O002206,P00878,1,30,Wallet
T000285,O006484,P00617,3,540,UPI
T000286,O001050,P00444,1,110,Cash on Delivery
T000287,O003129,P00464,4,1360,UPI
T000288,O005627,P00365,1,90,UPI
T000289,O009014,P00042,3,810,UPI
T000290,O014139,P00606,2,160,UPI
T000291,O016574,P00607,5,1200,Credit Card
T000292,O011053,P00414,4,880,Net Banking
T000293,O006641,P00157,1,120,Debit Card
T000294,O004170,P00131,3,720,Credit Card
T000295,O011633,P00209,5,850,UPI
T000296,O012845,P00436,3,1350,Debit Card
T000297,O004595,P00117,3,120,Debit Card
T000298,O013738,P00284,2,720,UPI
T000299,O014088,P00634,2,200,UPI
T000300,O016265,P00762,3,150,Credit Card
T000301,O006585,P00962,3,990,Credit Card
T000302,O014714,P00291,5,500,Credit Card
T000303,O014031,P00262,2,360,UPI
T000304,O011895,P00951,3,360,Credit Card
T000305,O009933,P00200,5,500,UPI
T000306,O019856,P00734,4,1200,Debit Card
T000307,O003973,P00395,5,700,UPI
T000308,O001048,P00054,4,680,Cash on Delivery
T000309,O015062,P00584,5,1300,UPI
T000310,O018239,P00242,5,550,Cash on Delivery
T000311,O007234,P00752,3,750,UPI
T000312,O017733,P00420,2,500,UPI
T000313,O011455,P00257,2,880,Debit Card
T000314,O005151,P00599,1,250,Credit Card
T000315,O008737,P00863,2,1120,Net Banking
T000316,O009026,P00987,3,330,UPI
T000317,O007235,P00821,4,160,UPI
T000318,O002559,P00204,4,160,Net Banking
T000319,O001906,P00379,1,70,Wallet
T000320,O015286,P00118,4,1600,UPI
T000321,O019978,P00028,5,950,Credit Card
T000322,O016682,P00976,3,360,UPI
T000323,O011082,P01095,3,210,UPI
T000324,O016426,P00736,3,510,Credit Card
T000325,O015520,P01040,1,30,UPI
T000326,O015997,P00194,1,100,UPI
T000327,O004134,P00735,2,700,UPI
T000328,O002555,P00936,5,1750,UPI
T000329,O001652,P00592,2,100,Credit Card
T000330,O019562,P00151,3,150,Cash on Delivery
T000331,O018629,P00249,4,1120,UPI
T000332,O007871,P00278,3,570,UPI
T000333,O009673,P00325,5,850,Debit Card
T000334,O000296,P00662,5,2800,UPI
T000335,O002653,P00867,5,800,Debit Card
T000336,O018412,P00577,4,2560,UPI
T000337,O005405,P01032,3,630,UPI
T000338,O012991,P00178,1,380,Cash on Delivery
T000339,O014119,P00072,3,120,UPI
T000340,O004176,P00124,4,600,Credit Card
T000341,O012241,P00223,2,700,Wallet
T000342,O009739,P00892,5,450,UPI
T000343,O006846,P00928,1,360,Debit Card
T000344,O017581,P00210,4,800,UPI
T000345,O007182,P00356,2,500,Wallet
T000346,O013601,P00009,5,800,UPI
T000347,O003708,P00064,1,40,UPI
T000348,O000422,P01141,4,440,UPI
T000349,O013141,P00927,5,700,Credit Card
T000350,O006491,P01094,1,340,UPI
T000351,O019969,P01050,2,1020,Wallet
T000352,O002084,P00839,5,750,UPI
T000353,O018691,P00871,4,920,Credit Card
T000354,O005325,P00068,2,560,UPI
T000355,O012392,P00477,4,2360,Credit Card
T000356,O001103,P00724,2,380,Credit Card
T000357,O018199,P00923,4,600,UPI
T000358,O014654,P01178,2,1380,UPI
T000359,O008224,P00896,2,940,UPI
T000360,O003692,P00983,3,1470,Debit Card
T000361,O013138,P00499,4,440,Credit Card
T000362,O017104,P00391,5,450,Wallet
T000363,O009054,P00786,2,240,UPI
T000364,O009620,P01019,5,750,Debit Card
T000365,O000774,P00454,2,280,Credit Card
T000366,O002481,P01172,1,210,UPI
T000367,O007389,P00875,5,550,Debit Card
T000368,O010890,P00701,3,1050,UPI
T000369,O014080,P00960,1,100,UPI
T000370,O018782,P00855,5,200,UPI
T000371,O008791,P01137,3,1770,UPI
T000372,O011594,P00874,4,320,UPI
T000373,O002175,P00221,5,2350,Cash on Delivery
T000374,O014938,P00863,5,2800,Credit Card
T000375,O009557,P00699,5,350,Net Banking
T000376,O015530,P00795,2,640,Debit Card
T000377,O012049,P00282,5,650,UPI
T000378,O002942,P01137,2,1180,UPI
T000379,O005699,P00977,2,460,UPI
T000380,O006081,P00169,4,840,Credit Card
T000381,O011940,P00929,3,390,UPI
T000382,O011009,P01176,1,290,Cash on Delivery
T000383,O008928,P01078,2,200,UPI
T000384,O007032,P00467,2,440,UPI
T000385,O012663,P01083,2,440,Wallet
T000386,O017135,P00643,2,1160,UPI
T000387,O004151,P00573,3,690,UPI
T000388,O003766,P00378,4,1400,Debit Card
T000389,O017065,P00808,1,90,Debit Card
T000390,O003583,P00874,1,80,Net Banking
T000391,O014142,P00820,3,360,UPI
T000392,O006924,P00828,1,380,Wallet
T000393,O008061,P00251,3,1680,UPI
T000394,O009610,P00242,3,330,UPI
T000395,O018274,P00141,5,1950,Credit Card
T000396,O009937,P00905,3,1290,Cash on Delivery
T000397,O011400,P00220,4,880,UPI
T000398,O017691,P00543,5,3350,UPI
T000399,O001726,P01119,4,360,Cash on Delivery
T000400,O016160,P00683,4,400,Cash on Delivery
T000401,O004668,P01019,1,150,UPI
T000402,O017888,P00549,3,750,Credit Card
T000403,O018719,P00966,4,800,Cash on Delivery
T000404,O000318,P01118,3,240,Wallet
T000405,O018665,P00369,4,280,Debit Card
T000406,O014328,P00817,2,260,Wallet
T000407,O006454,P00601,4,600,Credit Card
T000408,O006884,P01168,2,1020,Cash on Delivery
T000409,O010081,P00737,2,380,UPI
T000410,O012817,P00650,3,390,UPI
T000411,O019015,P00932,5,1750,UPI
T000412,O016792,P00580,2,920,Debit Card
T000413,O019904,P00969,2,140,Cash on Delivery
T000414,O004769,P00841,5,3450,UPI
T000415,O012700,P01104,5,1250,UPI
T000416,O008700,P00309,5,400,UPI
T000417,O015092,P00939,2,540,Wallet
T000418,O003058,P00019,5,1300,UPI
T000419,O012156,P00563,2,160,UPI
T000420,O007407,P00111,3,720,UPI
T000421,O015512,P00569,5,750,UPI
T000422,O016190,P00455,3,720,UPI
T000423,O018209,P00188,4,520,Credit Card
T000424,O006970,P01197,5,750,Debit Card
T000425,O018615,P01005,5,2600,UPI
T000426,O012154,P00684,4,960,Net Banking
T000427,O018247,P00006,3,390,UPI
T000428,O009018,P00137,1,740,Cash on Delivery
T000429,O003409,P00577,5,3200,UPI
T000430,O009298,P00526,5,200,Credit Card
T000431,O003542,P01090,5,950,Cash on Delivery
T000432,O013400,P01109,2,80,UPI
T000433,O004858,P00202,5,1100,Cash on Delivery
T000434,O008955,P00863,3,1680,UPI
T000435,O012407,P00927,3,420,UPI
T000436,O014665,P00827,1,550,UPI
T000437,O011214,P00082,1,280,Cash on Delivery
T000438,O017425,P00118,2,800,UPI
T000439,O004266,P00693,5,750,UPI
T000440,O013766,P00888,5,200,UPI
T000441,O011300,P00700,3,210,UPI
T000442,O003854,P00074,5,450,Cash on Delivery
T000443,O014677,P00462,2,200,Wallet
T000444,O016549,P00127,3,600,UPI
T000445,O008495,P00242,4,440,UPI
T000446,O009266,P00455,3,720,UPI
T000447,O014421,P00561,4,840,UPI
T000448,O003218,P01131,1,220,UPI
T000449,O000931,P00309,3,240,Net Banking
T000450,O010525,P00519,4,960,UPI
T000451,O012423,P00678,1,250,UPI
T000452,O005200,P00619,5,600,Wallet
T000453,O003611,P01096,2,320,UPI
T000454,O006767,P01159,4,320,UPI
T000455,O010251,P00542,1,230,UPI
T000456,O010292,P00526,2,80,UPI
T000457,O005290,P00997,5,350,Cash on Delivery
T000458,O019462,P01161,4,960,UPI
T000459,O007504,P00362,3,720,UPI
T000460,O016072,P00728,1,110,UPI
T000461,O000663,P01198,1,150,Debit Card
T000462,O017734,P00422,5,900,UPI
T000463,O010216,P00404,2,440,UPI
T000464,O010901,P00555,2,300,UPI
T000465,O000313,P01042,1,320,Debit Card
T000466,O004725,P01156,2,300,Debit Card
T000467,O014392,P00121,2,480,UPI
T000468,O018559,P00886,2,640,Credit Card
T000469,O006500,P00033,4,600,Credit Card
T000470,O002564,P00615,2,80,Net Banking
T000471,O011925,P00589,1,290,UPI
T000472,O020000,P00294,5,1000,UPI
T000473,O014880,P00003,1,100,Wallet
T000474,O013528,P01118,2,160,Cash on Delivery
T000475,O001953,P00603,4,440,Cash on Delivery
T000476,O018785,P00686,2,1160,Credit Card
T000477,O014059,P01110,1,200,Wallet
T000478,O000482,P01026,3,360,Cash on Delivery
T000479,O012023,P00809,2,260,Debit Card
T000480,O002768,P00480,3,480,Net Banking
T000481,O003728,P00340,1,50,Debit Card
T000482,O008695,P00382,1,230,Debit Card
T000483,O017196,P00593,3,1020,UPI
T000484,O008792,P00153,2,500,Wallet
T000485,O011906,P00772,1,250,Credit Card
T000486,O007000,P00162,5,100,UPI
T000487,O010484,P00675,1,60,UPI
T000488,O001269,P00394,3,1380,Credit Card
T000489,O016847,P00757,1,600,Credit Card
T000490,O004616,P00153,5,1250,UPI
T000491,O012304,P00034,5,650,UPI
T000492,O019015,P00802,5,1400,UPI
T000493,O005236,P00625,3,90,UPI
T000494,O017144,P01076,5,950,UPI
T000495,O002279,P00751,5,2500,UPI
T000496,O006032,P00479,4,480,UPI
T000497,O005403,P00893,3,480,Cash on Delivery
T000498,O007525,P00745,4,680,UPI
T000499,O001697,P00574,2,540,UPI
T000500,O004494,P00944,2,180,UPI
T000501,O017780,P01127,4,440,Cash on Delivery
T000502,O002843,P01178,1,690,UPI
T000503,O004129,P00500,4,320,Cash on Delivery
T000504,O012107,P00802,4,1120,UPI
T000505,O003018,P00534,4,2040,Cash on Delivery
T000506,O008958,P00984,2,300,UPI
T000507,O012802,P00459,3,1980,Credit Card
T000508,O004116,P00019,5,1300,Debit Card
T000509,O009830,P00560,5,3800,UPI
T000510,O018934,P00579,5,400,Credit Card
T000511,O004375,P00791,1,130,Wallet
T000512,O003422,P00178,1,380,UPI
T000513,O012897,P00364,2,1400,Credit Card
T000514,O000796,P00388,3,870,Credit Card
T000515,O001101,P00662,3,1680,UPI
T000516,O017668,P01166,2,100,Credit Card
T000517,O004527,P00797,2,40,Wallet
T000518,O017807,P00046,5,800,Net Banking
T000519,O017672,P00641,3,450,UPI
T000520,O003134,P01002,1,30,UPI
T000521,O015640,P00385,5,300,UPI
T000522,O011123,P00177,4,2240,UPI
T000523,O008042,P00284,5,1800,UPI
T000524,O014626,P01000,2,220,UPI
T000525,O010840,P00710,2,400,UPI
T000526,O009834,P00758,4,920,UPI
T000527,O019666,P00472,5,1450,UPI
T000528,O000821,P01094,2,680,UPI
T000529,O018924,P00066,5,750,UPI
T000530,O019891,P00496,2,160,Cash on Delivery
T000531,O018001,P00667,3,420,UPI
T000532,O003494,P00593,2,680,UPI
T000533,O010594,P00478,2,460,UPI
T000534,O018120,P00814,5,900,UPI
T000535,O008073,P01130,2,320,Debit Card
T000536,O019489,P01145,2,420,UPI
T000537,O011503,P00692,3,360,UPI
T000538,O000632,P00423,2,760,UPI
T000539,O004850,P00994,2,140,Debit Card
T000540,O008619,P00878,5,150,UPI
T000541,O014581,P00153,2,500,Debit Card
T000542,O012938,P00535,2,200,UPI
T000543,O003849,P00761,1,250,UPI
T000544,O007184,P00552,2,1100,UPI
T000545,O007102,P00734,4,1200,UPI
T000546,O011960,P01043,4,920,UPI
T000547,O008502,P00647,2,140,Wallet
T000548,O004663,P00374,1,260,UPI
T000549,O006586,P00184,4,640,Net Banking
T000550,O009075,P00757,3,1800,Credit Card
T000551,O015625,P00890,2,1060,UPI
T000552,O008820,P00634,4,400,Net Banking
T000553,O014129,P01059,4,800,Debit Card
T000554,O014512,P00724,4,760,UPI
T000555,O013422,P00887,5,1150,Net Banking
T000556,O001460,P00124,3,450,UPI
T000557,O015873,P00513,5,1100,Debit Card
T000558,O014721,P00418,4,280,Credit Card
T000559,O010116,P00118,2,800,Debit Card
T000560,O018429,P00125,2,260,UPI
T000561,O018651,P00997,4,280,Credit Card
T000562,O009329,P00583,4,2280,UPI
T000563,O013074,P00163,2,460,UPI
T000564,O016381,P00756,4,520,UPI
T000565,O013992,P00240,3,210,Wallet
T000566,O001316,P00566,4,880,Credit Card
T000567,O000346,P00581,3,690,UPI
T000568,O008643,P01036,1,120,Wallet
T000569,O009347,P00891,1,770,UPI
T000570,O013360,P00899,4,680,Debit Card
T000571,O018371,P00276,4,1320,Wallet
T000572,O018818,P00723,3,510,Cash on Delivery
T000573,O005646,P00316,5,2550,UPI
T000574,O007624,P01015,1,280,UPI
T000575,O009816,P00501,4,2400,UPI
T000576,O017274,P00708,4,560,UPI
T000577,O006310,P00196,4,1160,Cash on Delivery
T000578,O016237,P00087,4,2280,Debit Card
T000579,O010099,P00650,5,650,Cash on Delivery
T000580,O011113,P01100,1,560,UPI
T000581,O011427,P00365,3,270,UPI
T000582,O019424,P01165,2,160,Cash on Delivery
T000583,O002915,P00135,4,1320,UPI
T000584,O013945,P00653,3,150,Debit Card
T000585,O000900,P00652,2,120,UPI
T000586,O017064,P01034,1,380,Net Banking
T000587,O014361,P00513,3,660,UPI
T000588,O002310,P00416,5,850,UPI
T000589,O002000,P00679,1,650,UPI
T000590,O008792,P01072,2,1120,Credit Card
T000591,O004601,P00524,4,600,Cash on Delivery
T000592,O009854,P00307,4,360,UPI
T000593,O002814,P00148,4,360,Wallet
T000594,O006760,P00707,5,800,UPI
T000595,O013661,P01038,4,3200,UPI
T000596,O000126,P00791,3,390,Credit Card
T000597,O011845,P00093,3,450,UPI
T000598,O006639,P00576,5,450,UPI
T000599,O002075,P00123,2,760,UPI
T000600,O017613,P00868,2,400,UPI
T000601,O012287,P00364,5,3500,UPI
T000602,O006098,P00822,1,550,Debit Card
T000603,O008606,P00989,5,550,Debit Card
T000604,O014178,P00413,5,900,UPI
T000605,O014878,P00860,4,520,UPI
T000606,O001169,P00323,2,700,UPI
T000607,O001099,P00769,4,2880,UPI
T000608,O018112,P00490,2,460,Credit Card
T000609,O010561,P00682,1,240,Debit Card
T000610,O007838,P00625,3,90,Wallet
T000611,O004299,P00882,2,1320,UPI
T000612,O018235,P00357,5,200,Cash on Delivery
T000613,O019696,P00680,5,1000,UPI
T000614,O006217,P00021,4,160,UPI
T000615,O009700,P00009,4,640,UPI
T000616,O002899,P00203,5,650,Wallet
T000617,O006994,P00253,3,480,Cash on Delivery
T000618,O003519,P00742,5,3450,Cash on Delivery
T000619,O004402,P00884,4,1960,Cash on Delivery
T000620,O018763,P00050,1,130,UPI
T000621,O007741,P01023,2,120,Credit Card
T000622,O011202,P00953,5,3650,Debit Card
T000623,O005605,P01075,1,180,Debit Card
T000624,O005857,P01122,5,3350,Debit Card
T000625,O005992,P00633,4,1960,Net Banking
T000626,O019867,P01119,5,450,Credit Card
T000627,O017525,P01013,2,780,UPI
T000628,O017107,P00325,2,340,Cash on Delivery
T000629,O016233,P01070,1,170,Cash on Delivery
T000630,O004020,P00789,1,220,Credit Card
T000631,O004094,P00840,2,480,Credit Card
T000632,O002759,P00187,1,130,UPI
T000633,O013888,P00993,3,300,Debit Card
T000634,O001311,P00676,3,540,Credit Card
T000635,O016406,P00134,1,350,Cash on Delivery
T000636,O009014,P00859,2,460,UPI
T000637,O003627,P00165,5,1350,UPI
T000638,O013042,P00798,4,800,UPI
T000639,O009309,P00002,2,180,Net Banking
T000640,O009838,P00117,4,160,Cash on Delivery
T000641,O009279,P00903,1,160,UPI
T000642,O013752,P01058,1,210,UPI
T000643,O002221,P00529,5,2400,UPI
T000644,O012385,P01072,4,2240,UPI
T000645,O013479,P00959,1,190,UPI
T000646,O004339,P00333,3,690,Debit Card
T000647,O006829,P00784,5,600,Cash on Delivery
T000648,O003169,P00596,2,420,Credit Card
T000649,O002311,P01003,5,1150,UPI
T000650,O000401,P00673,3,360,Credit Card
T000651,O013270,P01145,2,420,UPI
