delivery_id,order_id,delivery_time_mins,delivery_status,distance_km
D000099,O000099,78,Delivered Late,8.9
D000100,O000100,49,Delivered Late,6.4
D000101,O000101,53,Delivered Late,6.3
D000102,O000102,63,Delivered Late,8.2
D000103,O000103,28,Delivered Late,2.6
D000104,O000104,40,Delivered Late,3.2
D000105,O000105,30,Delivered On Time,4
D000106,O000106,71,Delivered On Time,9.4
D000107,O000107,16,Delivered Late,0.7
D000108,O000108,36,Delivered Late,3.8
D000109,O000109,16,Delivered Late,1.1
D000110,O000110,35,Delivered On Time,5.4
D000111,O000111,76,Delivered On Time,9.1
D000112,O000112,17,Delivered Late,1.3
D000113,O000113,54,Delivered Late,6
D000114,O000114,24,Delivered On Time,4
D000115,O000115,85,Delivered Late,8.9
D000116,O000116,14,Delivered Late,1.6
D000117,O000117,41,Delivered On Time,7.1
D000118,O000118,73,Delivered On Time,9.4
D000119,O000119,40,Delivered Late,2.7
D000120,O000120,26,Delivered Late,3.3
D000121,O000121,70,Delivered On Time,9.2
D000122,O000122,26,Delivered On Time,3.7
D000123,O000123,42,Delivered On Time,6.1
D000124,O000124,9,Delivered On Time,2.7
D000125,O000125,56,Delivered On Time,7.2
D000126,O000126,34,Delivered On Time,4
D000127,O000127,21,Delivered On Time,4.6
D000128,O000128,38,Delivered On Time,5.2
D000129,O000129,52,Delivered On Time,5.9
D000130,O000130,35,Delivered Late,4
D000131,O000131,49,Delivered On Time,7.4
D000132,O000132,35,Delivered On Time,4.5
D000133,O000133,8,Delivered On Time,2.5
D000134,O000134,64,Delivered Late,6.7
D000135,O000135,29,Delivered On Time,4.4
D000136,O000136,34,Delivered Late,2.4
D000137,O000137,25,Delivered Late,0.8
D000138,O000138,37,Delivered Late,4.7
D000139,O000139,49,Delivered On Time,5.7
D000140,O000140,13,Delivered On Time,2.5
D000141,O000141,9,Delivered On Time,0.9
D000142,O000142,60,Delivered Late,5.4
D000143,O000143,14,Delivered On Time,1.3
D000144,O000144,13,Delivered Late,0.9
D000145,O000145,18,Delivered On Time,4.4
D000146,O000146,16,Delivered On Time,1.6
D000147,O000147,38,Delivered On Time,6.5
D000148,O000148,71,Delivered On Time,8.1
D000149,O000149,6,Delivered On Time,1.2
D000150,O000150,34,Delivered On Time,6.2
D000151,O000151,55,Delivered Late,4.6
D000152,O000152,37,Delivered Late,5.1
D000153,O000153,28,Delivered Late,1.5
D000154,O000154,47,Delivered Late,5.8
D000155,O000155,68,Delivered Late,9
D000156,O000156,40,Delivered On Time,6.2
D000157,O000157,19,Delivered On Time,3.8
D000158,O000158,5,Delivered On Time,1.1
D000159,O000159,21,Delivered Late,0.9
D000160,O000160,13,Delivered Late,0.6
D000161,O000161,36,Delivered On Time,6.5
D000162,O000162,48,Delivered Late,4.3
D000163,O000163,6,Delivered On Time,0.9
D000164,O000164,41,Delivered Late,3.8
D000165,O000165,39,Delivered Late,5.7
D000166,O000166,32,Delivered On Time,6.1
D000167,O000167,61,Delivered On Time,8.3
D000168,O000168,20,Delivered Late,1.3
D000169,O000169,62,Delivered On Time,8.1
D000170,O000170,32,Delivered On Time,4.6
D000171,O000171,59,Delivered On Time,8.3
D000172,O000172,44,Delivered Late,4.8
D000173,O000173,28,Delivered Late,2.5
D000174,O000174,48,Delivered Late,6.4
D000175,O000175,12,Delivered On Time,4.4
D000176,O000176,29,Delivered On Time,4.6
D000177,O000177,39,Delivered Late,5.3
D000178,O000178,7,Delivered On Time,1.2
D000179,O000179,14,Delivered On Time,4
D000180,O000180,31,Delivered Late,3.4
D000181,O000181,5,Delivered On Time,2.2
D000182,O000182,67,Delivered On Time,8.1
D000183,O000183,53,Delivered On Time,9.9
D000184,O000184,38,Delivered Late,6.3
D000185,O000185,67,Delivered Late,8.8
D000186,O000186,57,Delivered On Time,7.6
D000187,O000187,43,Delivered Late,3.9
D000188,O000188,31,Delivered Late,2.6
D000189,O000189,71,Delivered Late,8.6
D000190,O000190,39,Delivered Late,4.7
D000191,O000191,36,Delivered On Time,7
D000192,O000192,26,Delivered On Time,4
D000193,O000193,56,Delivered On Time,6.2
D000194,O000194,16,Delivered On Time,3.6
D000195,O000195,35,Delivered Late,3.7
D000196,O000196,67,Delivered On Time,8.8
D000197,O000197,25,Delivered On Time,5.2
D000198,O000198,20,Delivered Late,1.5
D000199,O000199,62,Delivered On Time,9.3
D000200,O000200,16,Delivered Late,0.7
D000201,O000201,52,Delivered On Time,7.2
D000202,O000202,35,Delivered Late,5.5
D000203,O000203,6,Delivered On Time,1.6
D000204,O000204,19,Delivered On Time,3.5
D000205,O000205,35,Delivered On Time,8
D000206,O000206,56,Delivered On Time,7.7
D000207,O000207,52,Delivered Late,6.4
D000208,O000208,13,Delivered On Time,3
D000209,O000209,44,Delivered Late,4.7
D000210,O000210,54,Delivered Late,6.5
D000211,O000211,54,Delivered On Time,6.3
D000212,O000212,57,Delivered On Time,8.7
D000213,O000213,30,Delivered On Time,7.5
D000214,O000214,30,Delivered On Time,4.3
D000215,O000215,18,Delivered On Time,4.7
D000216,O000216,20,Delivered Late,1.1
D000217,O000217,19,Delivered Late,0.6
D000218,O000218,68,Delivered On Time,7.6
D000219,O000219,34,Delivered On Time,4.8
D000220,O000220,78,Delivered On Time,9.5
D000221,O000221,56,Delivered Late,9.4
D000222,O000222,27,Delivered Late,1.3
D000223,O000223,5,Delivered On Time,0.9
D000224,O000224,10,Delivered Late,0.6
D000225,O000225,21,Delivered Late,1
D000226,O000226,7,Delivered On Time,2
D000227,O000227,48,Delivered Late,6.7
D000228,O000228,36,Delivered On Time,6.6
D000229,O000229,45,Delivered Late,3.8
D000230,O000230,40,Delivered Late,3.4
D000231,O000231,56,Delivered On Time,8.5
D000232,O000232,41,Delivered On Time,5.2
D000233,O000233,67,Delivered Late,7.1
D000234,O000234,63,Delivered Late,9.5
D000235,O000235,25,Delivered On Time,3.4
D000236,O000236,59,Delivered Late,9.5
D000237,O000237,5,Delivered On Time,1.3
D000238,O000238,71,Delivered Late,7.6
D000239,O000239,35,Delivered On Time,5.5
D000240,O000240,83,Delivered Late,9.1
D000241,O000241,65,Delivered On Time,9.5
D000242,O000242,16,Delivered On Time,4.9
D000243,O000243,21,Delivered On Time,2.6
D000244,O000244,46,Delivered Late,6.1
D000245,O000245,64,Delivered On Time,8.8
D000246,O000246,41,Delivered Late,4.3
D000247,O000247,50,Delivered Late,4.9
D000248,O000248,9,Delivered On Time,1.8
D000249,O000249,12,Delivered On Time,1.8
D000250,O000250,41,Delivered On Time,6
D000251,O000251,20,Delivered Late,1.8
D000252,O000252,45,Delivered On Time,6.5
D000253,O000253,16,Delivered On Time,3.2
D000254,O000254,26,Delivered On Time,6.6
D000255,O000255,25,Delivered Late,2.1
D000256,O000256,41,Delivered On Time,6.2
D000257,O000257,57,Delivered On Time,9
D000258,O000258,20,Delivered On Time,2.8
D000259,O000259,44,Delivered Late,7.2
D000260,O000260,38,Delivered On Time,6.8
D000261,O000261,35,Delivered On Time,5.7
D000262,O000262,57,Delivered Late,9.7
D000263,O000263,61,Delivered On Time,8
D000264,O000264,42,Delivered On Time,6.3
D000265,O000265,51,Delivered Late,7
D000266,O000266,23,Delivered On Time,2.3
D000267,O000267,58,Delivered On Time,8.2
D000268,O000268,62,Delivered Late,7.7
D000269,O000269,19,Delivered On Time,2.5
D000270,O000270,10,Delivered Late,0.6
D000271,O000271,72,Delivered Late,7.2
D000272,O000272,29,Delivered On Time,3.9
D000273,O000273,38,Delivered On Time,4.4
D000274,O000274,43,Delivered Late,4.6
D000275,O000275,13,Delivered On Time,2.1
D000276,O000276,21,Delivered Late,0.9
D000277,O000277,5,Delivered On Time,1.2
D000278,O000278,9,Delivered On Time,2.1
D000279,O000279,27,Delivered Late,2
D000280,O000280,33,Delivered Late,4
D000281,O000281,50,Delivered Late,6.8
D000282,O000282,21,Delivered On Time,4.2
D000283,O000283,13,Delivered On Time,3.7
D000284,O000284,22,Delivered On Time,5.1
D000285,O000285,39,Delivered On Time,5.1
D000286,O000286,28,Delivered Late,2.8
D000287,O000287,43,Delivered On Time,6.9
D000288,O000288,43,Delivered Late,5.2
D000289,O000289,82,Delivered Late,7.8
D000290,O000290,68,Delivered On Time,7.9
D000291,O000291,16,Delivered On Time,3.9
D000292,O000292,59,Delivered On Time,9.7
D000293,O000293,9,Delivered On Time,1.2
D000294,O000294,41,Delivered Late,2.9
D000295,O000295,84,Delivered Late,8.9
D000296,O000296,27,Delivered Late,2.3
D000297,O000297,9,Delivered Late,0.7
D000298,O000298,8,Delivered On Time,1.6
D000299,O000299,42,Delivered On Time,9.5
D000300,O000300,65,Delivered On Time,9.7
D000301,O000301,73,Delivered Late,6.8
D000302,O000302,28,Delivered On Time,5.2
D000303,O000303,5,Delivered On Time,2
D000304,O000304,22,Delivered Late,0.6
D000305,O000305,57,Delivered On Time,7.7
D000306,O000306,34,Delivered Late,2.3
D000307,O000307,39,Delivered Late,3.2
D000308,O000308,45,Delivered Late,5.8
D000309,O000309,43,Delivered On Time,6.9
D000310,O000310,78,Delivered Late,7.1
D000311,O000311,7,Delivered On Time,1
D000312,O000312,33,Delivered Late,2.3
D000313,O000313,10,Delivered On Time,2.3
D000314,O000314,53,Delivered On Time,7.2
D000315,O000315,70,Delivered Late,7.2
D000316,O000316,57,Delivered On Time,7.2
D000317,O000317,36,Delivered Late,2.2
D000318,O000318,32,Delivered Late,5.1
D000319,O000319,58,Delivered Late,5.6
D000320,O000320,27,Delivered On Time,5.2
D000321,O000321,68,Delivered Late,9.2
D000322,O000322,38,Delivered On Time,7.3
D000323,O000323,32,Delivered Late,3.1
D000324,O000324,31,Delivered Late,2.2
D000325,O000325,5,Delivered On Time,1.2
D000326,O000326,37,Delivered Late,4.6
D000327,O000327,14,Delivered On Time,4
D000328,O000328,51,Delivered On Time,8.2
D000329,O000329,58,Delivered Late,5.1
D000330,O000330,41,Delivered On Time,4.9
D000331,O000331,9,Delivered On Time,0.9
D000332,O000332,7,Delivered On Time,1.3
D000333,O000333,35,Delivered On Time,4.5
D000334,O000334,56,Delivered On Time,8.6
D000335,O000335,33,Delivered On Time,4.6
D000336,O000336,18,Delivered On Time,2.9
D000337,O000337,69,Delivered On Time,9.7
D000338,O000338,22,Delivered On Time,4.3
D000339,O000339,36,Delivered On Time,6.9
D000340,O000340,67,Delivered On Time,7.8
D000341,O000341,92,Delivered Late,9
D000342,O000342,5,Delivered On Time,1
D000343,O000343,65,Delivered Late,6.3
D000344,O000344,70,Delivered Late,8
D000345,O000345,35,Delivered On Time,3.9
D000346,O000346,85,Delivered On Time,9.4
D000347,O000347,62,Delivered On Time,7.1
D000348,O000348,23,Delivered Late,2.4
D000349,O000349,58,Delivered On Time,9
D000350,O000350,5,Delivered On Time,0.5
D000351,O000351,89,Delivered Late,9.1
D000352,O000352,10,Delivered Late,0.6
D000353,O000353,71,Delivered Late,6.6
D000354,O000354,72,Delivered On Time,8.2
D000355,O000355,23,Delivered Late,2.3
D000356,O000356,47,Delivered Late,6.3
D000357,O000357,68,Delivered Late,8
D000358,O000358,52,Delivered Late,4.8
D000359,O000359,39,Delivered On Time,5.2
D000360,O000360,7,Delivered On Time,1.1
D000361,O000361,28,Delivered Late,2.9
D000362,O000362,45,Delivered On Time,6.5
D000363,O000363,33,Delivered Late,2.4
D000364,O000364,14,Delivered On Time,3.1
D000365,O000365,39,Delivered Late,4
D000366,O000366,45,Delivered On Time,6.3
D000367,O000367,65,Delivered Late,6
D000368,O000368,53,Delivered Late,5.8
D000369,O000369,52,Delivered Late,7.1
D000370,O000370,20,Delivered On Time,2.2
D000371,O000371,83,Delivered Late,9.8
D000372,O000372,8,Delivered On Time,1.2
D000373,O000373,18,Delivered On Time,3.7
D000374,O000374,43,Delivered Late,5.3
D000375,O000375,26,Delivered On Time,4
D000376,O000376,19,Delivered On Time,2.8
D000377,O000377,45,Delivered Late,3.4
D000378,O000378,38,Delivered On Time,5.3
D000379,O000379,16,Delivered Late,1.3
D000380,O000380,9,Delivered On Time,2.5
D000381,O000381,32,Delivered Late,3.2
D000382,O000382,69,Delivered Late,8.7
D000383,O000383,72,Delivered Late,7.4
D000384,O000384,29,Delivered On Time,3.5
D000385,O000385,55,Delivered On Time,8.6
D000386,O000386,44,Delivered On Time,6.6
D000387,O000387,12,Delivered Late,1
D000388,O000388,69,Delivered Late,9
D000389,O000389,79,Delivered Late,8.1
D000390,O000390,46,Delivered On Time,9.9
D000391,O000391,89,Delivered Late,9
D000392,O000392,58,Delivered On Time,7.3
D000393,O000393,78,Delivered Late,7.7
D000394,O000394,61,Delivered On Time,9.9
D000395,O000395,47,Delivered On Time,6.7
D000396,O000396,23,Delivered On Time,2.6
D000397,O000397,70,Delivered Late,7
D000398,O000398,62,Delivered Late,7.9
D000399,O000399,68,Delivered Late,7.6
D000400,O000400,42,Delivered Late,4.3
D000401,O000401,39,Delivered Late,4.4
D000402,O000402,13,Delivered Late,0.6
D000403,O000403,26,Delivered On Time,5.8
D000404,O000404,91,Delivered Late,9.9
D000405,O000405,29,Delivered Late,2.3
D000406,O000406,22,Delivered On Time,3
D000407,O000407,61,Delivered Late,8.3
D000408,O000408,59,Delivered Late,6.8
D000409,O000409,54,Delivered On Time,6.9
D000410,O000410,69,Delivered Late,9.1
D000411,O000411,81,Delivered Late,8.7
D000412,O000412,23,Delivered On Time,2.8
D000413,O000413,65,Delivered Late,5.8
D000414,O000414,31,Delivered Late,1.5
D000415,O000415,64,Delivered On Time,8.7
D000416,O000416,14,Delivered On Time,2.9
D000417,O000417,18,Delivered On Time,2.9
D000418,O000418,19,Delivered On Time,3.7
D000419,O000419,26,Delivered Late,1.3
D000420,O000420,36,Delivered On Time,5.4
D000421,O000421,48,Delivered Late,6.4
D000422,O000422,31,Delivered Late,2
D000423,O000423,37,Delivered Late,4.2
D000424,O000424,79,Delivered Late,7.7
D000425,O000425,59,Delivered On Time,8.8
D000426,O000426,40,Delivered On Time,5.1
D000427,O000427,54,Delivered Late,5.7
D000428,O000428,61,Delivered On Time,9.9
D000429,O000429,30,Delivered On Time,5.6
D000430,O000430,36,Delivered Late,3.8
D000431,O000431,45,Delivered On Time,7.2
D000432,O000432,62,Delivered Late,9.6
D000433,O000433,52,Delivered On Time,7.4
D000434,O000434,38,Delivered Late,5.3
D000435,O000435,17,Delivered On Time,3.4
D000436,O000436,34,Delivered On Time,6.9
D000437,O000437,32,Delivered On Time,4.9
D000438,O000438,24,Delivered On Time,4
D000439,O000439,30,Delivered On Time,4.2
D000440,O000440,50,Delivered On Time,6.7
D000441,O000441,33,Delivered On Time,4.3
D000442,O000442,15,Delivered On Time,2.2
D000443,O000443,65,Delivered Late,9
D000444,O000444,42,Delivered On Time,5.9
D000445,O000445,15,Delivered On Time,2
D000446,O000446,63,Delivered On Time,9.4
D000447,O000447,44,Delivered On Time,8.3
D000448,O000448,5,Delivered On Time,1.4
D000449,O000449,20,Delivered On Time,2
D000450,O000450,52,Delivered Late,7.1
D000451,O000451,78,Delivered Late,9.2
D000452,O000452,61,Delivered Late,6.3
D000453,O000453,40,Delivered On Time,4.4
D000454,O000454,44,Delivered Late,5
D000455,O000455,33,Delivered Late,4.4
D000456,O000456,22,Delivered Late,2.4
D000457,O000457,96,Delivered Late,9.7
D000458,O000458,67,Delivered On Time,8
D000459,O000459,42,Delivered Late,4.7
D000460,O000460,19,Delivered Late,0.6
D000461,O000461,71,Delivered On Time,9
D000462,O000462,45,Delivered On Time,9.3
D000463,O000463,80,Delivered Late,9.2
D000464,O000464,53,Delivered Late,7.1
D000465,O000465,40,Delivered Late,6
D000466,O000466,14,Delivered Late,0.9
D000467,O000467,31,Delivered On Time,6.1
D000468,O000468,55,Delivered Late,8.2
D000469,O000469,78,Delivered Late,9.1
D000470,O000470,68,Delivered Late,8.2
D000471,O000471,44,Delivered On Time,7.2
D000472,O000472,71,Delivered Late,9.8
D000473,O000473,12,Delivered On Time,1.5
D000474,O000474,32,Delivered Late,4.3
D000475,O000475,20,Delivered On Time,6
D000476,O000476,48,Delivered On Time,8.3
D000477,O000477,25,Delivered On Time,5.9
D000478,O000478,78,Delivered Late,8.7
D000479,O000479,38,Delivered On Time,6.3
D000480,O000480,39,Delivered Late,3.7
D000481,O000481,48,Delivered On Time,9
D000482,O000482,60,Delivered Late,6.1
D000483,O000483,34,Delivered Late,2.1
D000484,O000484,33,Delivered On Time,6.5
D000485,O000485,39,Delivered On Time,4.5
D000486,O000486,64,Delivered Late,7.3
D000487,O000487,5,Delivered On Time,0.6
D000488,O000488,30,Delivered On Time,4.7
D000489,O000489,44,Delivered On Time,5.8
D000490,O000490,35,Delivered Late,2.9
D000491,O000491,61,Delivered Late,6.2
D000492,O000492,46,Delivered On Time,7.8
D000493,O000493,35,Delivered Late,3.7
D000494,O000494,55,Delivered On Time,7.9
D000495,O000495,36,Delivered On Time,4.7
D000496,O000496,7,Delivered On Time,1.5
D000497,O000497,39,Delivered Late,4.3
D000498,O000498,31,Delivered Late,3.3
D000499,O000499,57,Delivered On Time,8.5
D000500,O000500,87,Delivered On Time,9.8
D000501,O000501,33,Delivered Late,2.6
D000502,O000502,90,Delivered Late,9.2
D000503,O000503,72,Delivered Late,9
D000504,O000504,50,Delivered On Time,10
D000505,O000505,26,Delivered Late,2.2
D000506,O000506,31,Delivered Late,3.4
D000507,O000507,48,Delivered Late,4.1
D000508,O000508,6,Delivered On Time,2.9
D000509,O000509,16,Delivered On Time,4.8
D000510,O000510,17,Delivered On Time,4.2
D000511,O000511,75,Delivered Late,6.5
D000512,O000512,21,Delivered Late,3
D000513,O000513,86,Delivered Late,9.1
D000514,O000514,29,Delivered Late,1.3
D000515,O000515,34,Delivered Late,3.2
D000516,O000516,50,Delivered Late,4.3
D000517,O000517,61,Delivered On Time,9.3
D000518,O000518,53,Delivered On Time,8.2
D000519,O000519,27,Delivered On Time,3.8
D000520,O000520,45,Delivered Late,3.9
D000521,O000521,43,Delivered On Time,9.1
D000522,O000522,26,Delivered Late,2
D000523,O000523,11,Delivered On Time,1.5
D000524,O000524,20,Delivered On Time,5.3
D000525,O000525,22,Delivered On Time,5
D000526,O000526,69,Delivered Late,8.6
D000527,O000527,23,Delivered Late,1.8
D000528,O000528,59,Delivered Late,9.6
D000529,O000529,29,Delivered Late,2
D000530,O000530,54,Delivered Late,4.3
D000531,O000531,39,Delivered Late,3.6
D000532,O000532,79,Delivered On Time,9
D000533,O000533,53,Delivered On Time,6
D000534,O000534,37,Delivered On Time,4
D000535,O000535,55,Delivered Late,6.6
D000536,O000536,12,Delivered On Time,3.1
D000537,O000537,43,Delivered On Time,6.6
D000538,O000538,41,Delivered Late,4.6
D000539,O000539,65,Delivered On Time,8.7
D000540,O000540,63,Delivered Late,7.1
D000541,O000541,58,Delivered On Time,7.6
D000542,O000542,48,Delivered Late,6.1
D000543,O000543,40,Delivered On Time,8.3
D000544,O000544,54,Delivered Late,7.2
D000545,O000545,26,Delivered On Time,5.9
D000546,O000546,24,Delivered Late,2.8
D000547,O000547,55,Delivered Late,6.7
D000548,O000548,13,Delivered On Time,3.3
D000549,O000549,9,Delivered Late,0.6
D000550,O000550,32,Delivered Late,3.9
D000551,O000551,68,Delivered Late,7.3
D000552,O000552,71,Delivered On Time,8.9
D000553,O000553,49,Delivered Late,5.5
D000554,O000554,60,Delivered Late,5.4
D000555,O000555,64,Delivered On Time,9.7
D000556,O000556,70,Delivered On Time,9.5
D000557,O000557,67,Delivered Late,8.3
D000558,O000558,58,Delivered Late,7.4
D000559,O000559,39,Delivered Late,4.2
D000560,O000560,5,Delivered On Time,1.1
D000561,O000561,39,Delivered Late,4.8
D000562,O000562,61,Delivered Late,6.6
D000563,O000563,37,Delivered Late,5.8
D000564,O000564,47,Delivered Late,6.8
D000565,O000565,10,Delivered On Time,2.6
D000566,O000566,30,Delivered Late,1.5
D000567,O000567,27,Delivered On Time,4.5
D000568,O000568,21,Delivered Late,2.1
D000569,O000569,23,Delivered Late,1.6
D000570,O000570,67,Delivered Late,6.8
D000571,O000571,32,Delivered Late,4.2
D000572,O000572,36,Delivered On Time,5.5
D000573,O000573,71,Delivered Late,7.5
D000574,O000574,14,Delivered On Time,1.3
D000575,O000575,11,Delivered On Time,1.4
D000576,O000576,50,Delivered Late,7.8
D000577,O000577,28,Delivered On Time,4.7
D000578,O000578,61,Delivered Late,7.1
D000579,O000579,34,Delivered On Time,5.1
D000580,O000580,34,Delivered On Time,6.3
D000581,O000581,45,Delivered Late,5.6
D000582,O000582,10,Delivered On Time,1.3
D000583,O000583,56,Delivered Late,6.8
D000584,O000584,44,Delivered On Time,9.6
D000585,O000585,55,Delivered Late,9.7
D000586,O000586,31,Delivered On Time,4
D000587,O000587,56,Delivered On Time,6.4
D000588,O000588,43,Delivered Late,5.5
D000589,O000589,55,Delivered Late,5.4
D000590,O000590,74,Delivered On Time,9.3
D000591,O000591,61,Delivered On Time,7
D000592,O000592,49,Delivered On Time,5.1
D000593,O000593,78,Delivered Late,10
D000594,O000594,50,Delivered On Time,8.4
D000595,O000595,43,Delivered On Time,7.1
D000596,O000596,63,Delivered On Time,9.3
D000597,O000597,29,Delivered Late,1.9
D000598,O000598,41,Delivered Late,4.1
D000599,O000599,5,Delivered On Time,1.1
D000600,O000600,43,Delivered Late,4.7
D000601,O000601,16,Delivered Late,0.6
D000602,O000602,48,Delivered On Time,9.8
D000603,O000603,34,Delivered Late,4.5
D000604,O000604,49,Delivered On Time,7.9
D000605,O000605,20,Delivered On Time,3.2
D000606,O000606,15,Delivered On Time,2
D000607,O000607,25,Delivered On Time,3.2
D000608,O000608,53,Delivered On Time,7.9
D000609,O000609,57,Delivered On Time,7.9
D000610,O000610,16,Delivered Late,1.4
D000611,O000611,45,Delivered On Time,5.4
D000612,O000612,28,Delivered Late,1.4
D000613,O000613,31,Delivered On Time,6.7
D000614,O000614,34,Delivered Late,2.3
D000615,O000615,31,Delivered Late,2.8
D000616,O000616,40,Delivered Late,5.1
D000617,O000617,21,Delivered On Time,4.6
D000618,O000618,35,Delivered On Time,6.5
D000619,O000619,19,Delivered Late,1.1
D000620,O000620,28,Delivered Late,2
D000621,O000621,47,Delivered On Time,7.7
D000622,O000622,9,Delivered On Time,1.4
D000623,O000623,59,Delivered Late,8.8
D000624,O000624,59,Delivered Late,5.5
D000625,O000625,34,Delivered Late,2.1
D000626,O000626,57,Delivered On Time,9.6
D000627,O000627,63,Delivered Late,9.5
D000628,O000628,79,Delivered On Time,9.3
D000629,O000629,24,Delivered On Time,3.8
D000630,O000630,18,Delivered On Time,3.1
D000631,O000631,35,Delivered On Time,7.1
D000632,O000632,61,Delivered Late,8.2
D000633,O000633,69,Delivered On Time,9.7
D000634,O000634,32,Delivered On Time,5.3
D000635,O000635,68,Delivered Late,10
D000636,O000636,21,Delivered Late,1.8
D000637,O000637,21,Delivered Late,1.9
D000638,O000638,49,Delivered On Time,7.1
D000639,O000639,53,Delivered On Time,9.5
D000640,O000640,36,Delivered On Time,8.6
D000641,O000641,59,Delivered Late,6.3
D000642,O000642,44,Delivered On Time,8.5
D000643,O000643,22,Delivered Late,1.4
D000644,O000644,23,Delivered On Time,5.8
D000645,O000645,10,Delivered Late,0.8
D000646,O000646,25,Delivered Late,1.4
D000647,O000647,36,Delivered On Time,6.4
D000648,O000648,64,Delivered Late,6.1
D000649,O000649,21,Delivered Late,1.5
D000650,O000650,20,Delivered Late,2.3
D000651,O000651,53,Delivered On Time,9.7
D000652,O000652,75,Delivered Late,9.6
D000653,O000653,35,Delivered Late,2.3
D000654,O000654,27,Delivered Late,2.5
