rating_id,order_id,rating,review
R000353,O001518,5,"On-time delivery, good quality."
R000354,O014984,5,"Great experience, fresh items."
R000355,O003308,5,"On-time delivery, good quality."
R000356,O006744,4,Nice packaging and fast service.
R000357,O006342,5,Nice packaging and fast service.
R000358,O015011,5,"On-time delivery, good quality."
R000359,O014892,4,Loved the quick delivery.
R000360,O018432,5,Loved the quick delivery.
R000361,O007826,4,Loved the quick delivery.
R000362,O008184,5,Loved the quick delivery.
R000363,O005574,1,Poor quality and service.
R000364,O010379,5,"Great experience, fresh items."
R000365,O011270,3,One or two items were not so fresh.
R000366,O017395,4,Nice packaging and fast service.
R000367,O008786,5,All items were available and fresh.
R000368,O002374,3,"Average experience, could be better."
R000369,O005527,3,Okay service.
R000370,O019891,5,Loved the quick delivery.
R000371,O002072,3,"Average experience, could be better."
R000372,O005422,5,All items were available and fresh.
R000373,O000951,3,Delivery was slightly delayed.
R000374,O001159,4,"On-time delivery, good quality."
R000375,O000293,4,All items were available and fresh.
R000376,O014463,4,All items were available and fresh.
R000377,O005363,4,"On-time delivery, good quality."
R000378,O002169,4,Nice packaging and fast service.
R000379,O005393,3,Okay service.
R000380,O000384,4,"On-time delivery, good quality."
R000381,O003961,1,Late delivery and missing items.
R000382,O011309,5,"On-time delivery, good quality."
R000383,O016199,4,"On-time delivery, good quality."
R000384,O008851,5,Loved the quick delivery.
R000385,O005743,5,Loved the quick delivery.
R000386,O017402,3,"Average experience, could be better."
R000387,O004827,1,"Very bad experience, not ordering again."
R000388,O015876,3,"Average experience, could be better."
R000389,O013564,3,One or two items were not so fresh.
R000390,O009757,3,Delivery was slightly delayed.
R000391,O010010,4,"Great experience, fresh items."
R000392,O007900,5,"Great experience, fresh items."
R000393,O014175,3,Delivery was slightly delayed.
R000394,O013414,5,Nice packaging and fast service.
R000395,O002741,3,One or two items were not so fresh.
R000396,O009861,5,All items were available and fresh.
R000397,O015362,4,"Great experience, fresh items."
R000398,O019445,4,All items were available and fresh.
R000399,O002504,5,All items were available and fresh.
R000400,O001467,1,Poor quality and service.
R000401,O010086,2,Items were damaged.
R000402,O008651,2,Poor quality and service.
R000403,O011824,4,All items were available and fresh.
R000404,O012081,3,Okay service.
R000405,O004497,5,"Great experience, fresh items."
R000406,O017375,5,Loved the quick delivery.
R000407,O012760,2,Late delivery and missing items.
R000408,O012549,5,All items were available and fresh.
R000409,O018266,5,Nice packaging and fast service.
R000410,O016321,4,"On-time delivery, good quality."
R000411,O002901,4,"Great experience, fresh items."
R000412,O001546,3,Okay service.
R000413,O004090,5,Nice packaging and fast service.
R000414,O016452,3,Okay service.
R000415,O002136,5,Loved the quick delivery.
R000416,O013371,4,"On-time delivery, good quality."
R000417,O002322,5,"On-time delivery, good quality."
R000418,O004812,4,Nice packaging and fast service.
R000419,O002392,4,Loved the quick delivery.
R000420,O011003,5,Loved the quick delivery.
R000421,O006018,5,Loved the quick delivery.
R000422,O007780,5,All items were available and fresh.
R000423,O017280,4,Loved the quick delivery.
R000424,O004065,5,All items were available and fresh.
R000425,O014352,3,Delivery was slightly delayed.
R000426,O007110,3,Delivery was slightly delayed.
R000427,O007907,5,"On-time delivery, good quality."
R000428,O018322,5,"Great experience, fresh items."
R000429,O018781,5,Nice packaging and fast service.
R000430,O005904,5,"On-time delivery, good quality."
R000431,O005673,5,All items were available and fresh.
R000432,O001029,4,"On-time delivery, good quality."
R000433,O007594,2,Late delivery and missing items.
R000434,O006220,5,All items were available and fresh.
R000435,O012164,1,"Very bad experience, not ordering again."
R000436,O002658,4,Loved the quick delivery.
R000437,O005371,5,Loved the quick delivery.
R000438,O010324,4,All items were available and fresh.
R000439,O017554,1,Late delivery and missing items.
R000440,O019834,4,"On-time delivery, good quality."
R000441,O018009,4,"On-time delivery, good quality."
R000442,O015284,4,Nice packaging and fast service.
R000443,O014645,4,"Great experience, fresh items."
R000444,O006939,4,All items were available and fresh.
R000445,O007197,2,Items were damaged.
R000446,O004482,4,Nice packaging and fast service.
R000447,O002579,5,"Great experience, fresh items."
R000448,O009012,4,Loved the quick delivery.
R000449,O009470,4,Nice packaging and fast service.
R000450,O008972,4,Loved the quick delivery.
R000451,O017737,3,Delivery was slightly delayed.
R000452,O011713,4,"On-time delivery, good quality."
R000453,O000498,4,Nice packaging and fast service.
R000454,O002560,5,Loved the quick delivery.
R000455,O004021,5,"On-time delivery, good quality."
R000456,O017152,2,Poor quality and service.
R000457,O004922,3,One or two items were not so fresh.
R000458,O008515,4,Loved the quick delivery.
R000459,O010839,2,Items were damaged.
R000460,O017529,5,"Great experience, fresh items."
R000461,O010815,5,"Great experience, fresh items."
R000462,O005512,3,"Average experience, could be better."
R000463,O019144,5,Loved the quick delivery.
R000464,O009585,2,Poor quality and service.
R000465,O015321,5,Nice packaging and fast service.
R000466,O002293,1,"Very bad experience, not ordering again."
R000467,O008782,4,"On-time delivery, good quality."
R000468,O012193,4,Loved the quick delivery.
R000469,O001116,4,Nice packaging and fast service.
R000470,O012466,5,All items were available and fresh.
R000471,O005594,3,Okay service.
R000472,O000729,4,All items were available and fresh.
R000473,O004450,3,"Average experience, could be better."
R000474,O001547,5,Nice packaging and fast service.
R000475,O000497,3,One or two items were not so fresh.
R000476,O001978,4,All items were available and fresh.
R000477,O001937,1,"Very bad experience, not ordering again."
R000478,O001647,4,"Great experience, fresh items."
R000479,O011475,4,"Great experience, fresh items."
R000480,O015063,3,"Average experience, could be better."
R000481,O013745,4,Loved the quick delivery.
R000482,O018684,4,Nice packaging and fast service.
R000483,O016438,5,Nice packaging and fast service.
R000484,O015064,4,Nice packaging and fast service.
R000485,O016415,5,Loved the quick delivery.
R000486,O015277,4,All items were available and fresh.
R000487,O009801,3,One or two items were not so fresh.
R000488,O019699,4,"Great experience, fresh items."
R000489,O006278,4,All items were available and fresh.
R000490,O006335,4,"On-time delivery, good quality."
R000491,O017849,1,"Very bad experience, not ordering again."
R000492,O005969,5,"Great experience, fresh items."
R000493,O001434,3,Okay service.
R000494,O017850,5,Loved the quick delivery.
R000495,O013557,5,Nice packaging and fast service.
R000496,O019823,4,"Great experience, fresh items."
R000497,O004102,4,All items were available and fresh.
R000498,O015590,4,"Great experience, fresh items."
R000499,O015010,4,Nice packaging and fast service.
R000500,O006941,4,Loved the quick delivery.
R000501,O015446,3,Delivery was slightly delayed.
R000502,O008878,5,"Great experience, fresh items."
R000503,O015170,2,Poor quality and service.
R000504,O018551,3,"Average experience, could be better."
R000505,O000292,4,"Great experience, fresh items."
R000506,O018467,3,One or two items were not so fresh.
R000507,O012293,1,"Very bad experience, not ordering again."
R000508,O006994,4,"Great experience, fresh items."
R000509,O019919,4,Loved the quick delivery.
R000510,O006011,4,Loved the quick delivery.
R000511,O002551,4,Nice packaging and fast service.
R000512,O002745,4,"Great experience, fresh items."
R000513,O007724,2,"Very bad experience, not ordering again."
R000514,O000386,5,All items were available and fresh.
R000515,O010780,4,"On-time delivery, good quality."
R000516,O003328,3,"Average experience, could be better."
R000517,O010633,3,Delivery was slightly delayed.
R000518,O007612,4,Nice packaging and fast service.
R000519,O003683,4,Loved the quick delivery.
R000520,O011282,5,Nice packaging and fast service.
R000521,O005711,4,Nice packaging and fast service.
R000522,O003612,4,"Great experience, fresh items."
R000523,O016615,2,Poor quality and service.
R000524,O020000,4,"On-time delivery, good quality."
R000525,O007409,4,"Great experience, fresh items."
R000526,O014723,3,One or two items were not so fresh.
R000527,O009405,3,Okay service.
R000528,O013044,3,Okay service.
R000529,O015226,3,Delivery was slightly delayed.
R000530,O005259,5,Nice packaging and fast service.
R000531,O004852,5,"Great experience, fresh items."
R000532,O018232,5,"Great experience, fresh items."
R000533,O001806,5,"Great experience, fresh items."
R000534,O012373,2,Poor quality and service.
R000535,O019353,4,"On-time delivery, good quality."
R000536,O011664,5,"Great experience, fresh items."
R000537,O018171,4,"Great experience, fresh items."
R000538,O019732,3,"Average experience, could be better."
R000539,O007952,3,"Average experience, could be better."
R000540,O006561,4,All items were available and fresh.
R000541,O013832,1,Items were damaged.
R000542,O019434,4,All items were available and fresh.
R000543,O008033,4,Nice packaging and fast service.
R000544,O018863,4,"Great experience, fresh items."
R000545,O001411,3,"Average experience, could be better."
R000546,O003267,5,"On-time delivery, good quality."
R000547,O016240,3,One or two items were not so fresh.
R000548,O007019,3,Delivery was slightly delayed.
R000549,O011135,5,All items were available and fresh.
R000550,O015707,2,Items were damaged.
R000551,O009450,4,Nice packaging and fast service.
R000552,O019375,4,Nice packaging and fast service.
R000553,O006776,4,Loved the quick delivery.
R000554,O015452,4,"On-time delivery, good quality."
R000555,O014418,4,"On-time delivery, good quality."
R000556,O006739,5,All items were available and fresh.
R000557,O017820,4,"Great experience, fresh items."
R000558,O007972,4,Nice packaging and fast service.
R000559,O005924,3,Okay service.
R000560,O007724,1,Items were damaged.
R000561,O015168,2,Late delivery and missing items.
R000562,O001073,4,Loved the quick delivery.
R000563,O013723,3,Okay service.
R000564,O005384,5,Nice packaging and fast service.
R000565,O013404,5,"Great experience, fresh items."
R000566,O017652,4,"Great experience, fresh items."
R000567,O007787,4,"On-time delivery, good quality."
R000568,O014901,5,Loved the quick delivery.
R000569,O012005,4,Nice packaging and fast service.
R000570,O011943,5,Nice packaging and fast service.
R000571,O007403,4,Loved the quick delivery.
R000572,O000359,2,Late delivery and missing items.
R000573,O017657,5,Loved the quick delivery.
R000574,O011766,2,"Very bad experience, not ordering again."
R000575,O007925,5,"On-time delivery, good quality."
R000576,O008839,5,Nice packaging and fast service.
R000577,O013688,4,All items were available and fresh.
R000578,O004207,3,Delivery was slightly delayed.
R000579,O018859,5,Nice packaging and fast service.
R000580,O000037,5,All items were available and fresh.
R000581,O005516,5,All items were available and fresh.
R000582,O017915,5,All items were available and fresh.
R000583,O000141,4,Nice packaging and fast service.
R000584,O014832,1,Poor quality and service.
R000585,O009953,4,Loved the quick delivery.
R000586,O000953,1,Items were damaged.
R000587,O019463,5,"On-time delivery, good quality."
R000588,O002818,3,Delivery was slightly delayed.
R000589,O006119,4,Nice packaging and fast service.
R000590,O007678,5,"On-time delivery, good quality."
R000591,O018330,5,"Great experience, fresh items."
R000592,O002918,4,All items were available and fresh.
R000593,O019181,2,Late delivery and missing items.
R000594,O002570,5,Nice packaging and fast service.
R000595,O018784,5,"Great experience, fresh items."
R000596,O003966,3,"Average experience, could be better."
R000597,O014750,4,All items were available and fresh.
R000598,O017993,5,"On-time delivery, good quality."
R000599,O008742,3,"Average experience, could be better."
R000600,O011989,4,"Great experience, fresh items."
R000601,O015397,5,All items were available and fresh.
R000602,O000596,4,"Great experience, fresh items."
R000603,O008003,3,"Average experience, could be better."
R000604,O014752,1,Late delivery and missing items.
R000605,O009903,3,Delivery was slightly delayed.
R000606,O008562,3,Okay service.
R000607,O018758,1,"Very bad experience, not ordering again."
R000608,O003069,4,"Great experience, fresh items."
R000609,O007490,5,Nice packaging and fast service.
R000610,O018792,4,"Great experience, fresh items."
R000611,O015678,3,Okay service.
R000612,O018761,3,"Average experience, could be better."
R000613,O008076,5,Loved the quick delivery.
R000614,O010408,5,All items were available and fresh.
R000615,O011159,4,Nice packaging and fast service.
R000616,O018743,5,All items were available and fresh.
R000617,O011652,5,Loved the quick delivery.
R000618,O001343,3,Okay service.
R000619,O017612,3,One or two items were not so fresh.
R000620,O004970,4,Nice packaging and fast service.
R000621,O009254,4,Loved the quick delivery.
R000622,O003923,4,All items were available and fresh.
R000623,O004354,1,"Very bad experience, not ordering again."
R000624,O007362,2,Poor quality and service.
R000625,O014558,3,Delivery was slightly delayed.
R000626,O002232,2,"Very bad experience, not ordering again."
R000627,O002030,4,"On-time delivery, good quality."
R000628,O013150,5,"On-time delivery, good quality."
R000629,O014152,4,Nice packaging and fast service.
R000630,O009562,4,Nice packaging and fast service.
R000631,O011417,4,Loved the quick delivery.
R000632,O003937,1,"Very bad experience, not ordering again."
R000633,O012024,4,Loved the quick delivery.
R000634,O002871,4,All items were available and fresh.
R000635,O000067,3,Okay service.
R000636,O013738,4,Loved the quick delivery.
R000637,O004750,3,Delivery was slightly delayed.
R000638,O012633,4,"Great experience, fresh items."
R000639,O002666,5,"On-time delivery, good quality."
R000640,O016250,4,"Great experience, fresh items."
R000641,O005383,3,"Average experience, could be better."
R000642,O005094,5,Loved the quick delivery.
R000643,O018532,5,"On-time delivery, good quality."
R000644,O002258,5,All items were available and fresh.
R000645,O009053,4,Nice packaging and fast service.
R000646,O004791,5,All items were available and fresh.
R000647,O011648,1,"Very bad experience, not ordering again."
R000648,O006360,3,One or two items were not so fresh.
R000649,O014673,4,"On-time delivery, good quality."
R000650,O010312,5,Nice packaging and fast service.
R000651,O015151,3,Delivery was slightly delayed.
R000652,O004598,4,Nice packaging and fast service.
R000653,O003542,4,All items were available and fresh.
R000654,O017649,4,All items were available and fresh.
R000655,O018215,5,"On-time delivery, good quality."
