platform,product_id,product_name,category,sub_category,brand,price,mrp,shelf_life_days
Zepto,P00056,Green Potato 6 pcs,Fruits & Vegetables,Vegetables,,150.0,,
Zepto,P00057,Smart Almonds 500g,Grocery & Staples,Dry Fruits,,30.0,,
Zepto,P00058,Green Floor Cleaner 200g,Household,Floor Cleaner,,400.0,,
Zepto,P00059,Fresh Eggs 1L,Dairy & Breakfast,Eggs,,70.0,,
Zepto,P00060,Good Atta 6 pcs,Grocery & Staples,Flour,,140.0,,
Zepto,P00061,Urban Coffee 500g,Snacks & Beverages,Coffee,,190.0,,
Zepto,P00062,Metro Dishwash 12 pcs,Household,Dishwash,,580.0,,
Zepto,P00063,Metro Milk 500ml,Dairy & Breakfast,Milk,,160.0,,
Zepto,P00064,Good Toor Dal 2kg,Grocery & Staples,Pulses,,40.0,,
Zepto,P00065,Daily Chocolate 200g,Snacks & Beverages,Chocolates,,150.0,,
Zepto,P00066,Fresh Banana 12 pcs,Fruits & Vegetables,Fruits,,150.0,,
Zepto,P00067,Happy Cookies 12 pcs,Snacks & Beverages,Biscuits,,480.0,,
Zepto,P00068,Pure Namkeen 12 pcs,Snacks & Beverages,Chips,,280.0,,
Zepto,P00069,Pure Floor Cleaner 500ml,Household,Floor Cleaner,,380.0,,
Zepto,P00070,Pure Milk 200g,Dairy & Breakfast,Milk,,160.0,,
Zepto,P00071,Quick Toor Dal 1kg,Grocery & Staples,Pulses,,140.0,,
Zepto,P00072,Fresh Almonds 500ml,Grocery & Staples,Dry Fruits,,40.0,,
Zepto,P00073,Green Potato 500ml,Fruits & Vegetables,Vegetables,,130.0,,
Zepto,P00074,Good Floor Cleaner 500ml,Household,Floor Cleaner,,90.0,,
Zepto,P00075,Happy Apple 1L,Fruits & Vegetables,Fruits,,450.0,,
Zepto,P00076,Metro Potato 1L,Fruits & Vegetables,Vegetables,,340.0,,
Zepto,P00077,Fresh Basmati Rice 2kg,Grocery & Staples,Rice,,110.0,,
Zepto,P00078,Smart Atta 500g,Grocery & Staples,Flour,,230.0,,
Zepto,P00079,Quick Eggs 200g,Dairy & Breakfast,Eggs,,210.0,,
Zepto,P00080,Quick Curd 1L,Dairy & Breakfast,Curd,,580.0,,
Zepto,P00081,Fresh Curd 500g,Dairy & Breakfast,Curd,,390.0,,
Zepto,P00082,Happy Juice 6 pcs,Snacks & Beverages,Juices,,280.0,,
Zepto,P00083,Smart Eggs 6 pcs,Dairy & Breakfast,Eggs,,60.0,,
Zepto,P00084,Pure Dishwash 12 pcs,Household,Dishwash,,230.0,,
Zepto,P00085,Daily Toor Dal 200g,Grocery & Staples,Pulses,,330.0,,
Zepto,P00086,Pure Tomato 500g,Fruits & Vegetables,Vegetables,,160.0,,
Zepto,P00087,Urban Floor Cleaner 1L,Household,Floor Cleaner,,570.0,,
Zepto,P00088,Metro Cashew 12 pcs,Grocery & Staples,Dry Fruits,,110.0,,
Zepto,P00089,Happy Dishwash 500g,Household,Dishwash,,30.0,,
Zepto,P00090,Smart Curd 6 pcs,Dairy & Breakfast,Curd,,110.0,,
Zepto,P00091,Happy Banana 500ml,Fruits & Vegetables,Fruits,,70.0,,
Zepto,P00092,Quick Coffee 500g,Snacks & Beverages,Coffee,,190.0,,
Zepto,P00093,Fresh Apple 500ml,Fruits & Vegetables,Fruits,,150.0,,
Zepto,P00094,Happy Toothpaste 6 pcs,Personal Care,Oral Care,,240.0,,
Zepto,P00095,Smart Curd 1L,Dairy & Breakfast,Curd,,390.0,,
Zepto,P00096,Happy Bread 500ml,Dairy & Breakfast,Bread,,180.0,,
Zepto,P00097,Quick Bread 500ml,Dairy & Breakfast,Bread,,60.0,,
Zepto,P00098,Smart Dishwash 500ml,Household,Dishwash,,640.0,,
Zepto,P00099,Green Tomato 200g,Fruits & Vegetables,Vegetables,,170.0,,
Zepto,P00100,Quick Cookies 500g,Snacks & Beverages,Biscuits,,80.0,,
Zepto,P00101,Pure Toor Dal 6 pcs,Grocery & Staples,Pulses,,470.0,,
Zepto,P00102,Quick Cold Drink 500g,Snacks & Beverages,Soft Drinks,,200.0,,
Zepto,P00103,Quick Chocolate 1kg,Snacks & Beverages,Chocolates,,200.0,,
Zepto,P00104,Urban Curd 1L,Dairy & Breakfast,Curd,,20.0,,
Zepto,P00105,Good Banana 200g,Fruits & Vegetables,Fruits,,520.0,,
Zepto,P00106,Good Floor Cleaner 1kg,Household,Floor Cleaner,,590.0,,
Zepto,P00107,Quick Curd 1kg,Dairy & Breakfast,Curd,,130.0,,
Zepto,P00108,Happy Cold Drink 2kg,Snacks & Beverages,Soft Drinks,,100.0,,
Zepto,P00109,Good Juice 500ml,Snacks & Beverages,Juices,,130.0,,
Zepto,P00110,Green Shampoo 1L,Personal Care,Shampoo,,500.0,,
Zepto,P00111,Daily Atta 500g,Grocery & Staples,Flour,,240.0,,
Zepto,P00112,Smart Cookies 500g,Snacks & Beverages,Biscuits,,590.0,,
Zepto,P00113,Green Curd 500g,Dairy & Breakfast,Curd,,70.0,,
Zepto,P00114,Quick Floor Cleaner 6 pcs,Household,Floor Cleaner,,180.0,,
Zepto,P00115,Smart Potato 1L,Fruits & Vegetables,Vegetables,,40.0,,
Zepto,P00116,Smart Apple 1L,Fruits & Vegetables,Fruits,,190.0,,
Zepto,P00117,Happy Atta 2kg,Grocery & Staples,Flour,,40.0,,
Zepto,P00118,Daily Basmati Rice 500g,Grocery & Staples,Rice,,400.0,,
Zepto,P00119,Urban Dishwash 200g,Household,Dishwash,,220.0,,
Zepto,P00120,Quick Almonds 500ml,Grocery & Staples,Dry Fruits,,50.0,,
Zepto,P00121,Happy Curd 12 pcs,Dairy & Breakfast,Curd,,240.0,,
Zepto,P00122,Metro Cold Drink 500g,Snacks & Beverages,Soft Drinks,,600.0,,
Zepto,P00123,Good Atta 500g,Grocery & Staples,Flour,,380.0,,
Zepto,P00124,Happy Eggs 1L,Dairy & Breakfast,Eggs,,150.0,,
Zepto,P00125,Green Toor Dal 6 pcs,Grocery & Staples,Pulses,,130.0,,
Zepto,P00126,Daily Toothpaste 1kg,Personal Care,Oral Care,,480.0,,
Zepto,P00127,Smart Toor Dal 2kg,Grocery & Staples,Pulses,,200.0,,
Zepto,P00128,Daily Bread 12 pcs,Dairy & Breakfast,Bread,,280.0,,
Zepto,P00129,Smart Coffee 500ml,Snacks & Beverages,Coffee,,100.0,,
Zepto,P00130,Pure Chocolate 1L,Snacks & Beverages,Chocolates,,40.0,,
Zepto,P00131,Daily Namkeen 200g,Snacks & Beverages,Chips,,240.0,,
Zepto,P00132,Fresh Floor Cleaner 1L,Household,Floor Cleaner,,220.0,,
Zepto,P00133,Smart Atta 12 pcs,Grocery & Staples,Flour,,470.0,,
Zepto,P00134,Daily Chocolate 200g,Snacks & Beverages,Chocolates,,350.0,,
Zepto,P00135,Quick Tea 6 pcs,Snacks & Beverages,Tea,,330.0,,
Zepto,P00136,Daily Almonds 12 pcs,Grocery & Staples,Dry Fruits,,30.0,,
Zepto,P00137,Daily Milk 12 pcs,Dairy & Breakfast,Milk,,740.0,,
Zepto,P00138,Happy Toor Dal 6 pcs,Grocery & Staples,Pulses,,270.0,,
Zepto,P00139,Fresh Juice 6 pcs,Snacks & Beverages,Juices,,190.0,,
Zepto,P00140,Pure Namkeen 1kg,Snacks & Beverages,Chips,,60.0,,
Zepto,P00141,Quick Curd 12 pcs,Dairy & Breakfast,Curd,,390.0,,
Zepto,P00142,Metro Bread 500g,Dairy & Breakfast,Bread,,420.0,,
Zepto,P00143,Quick Tea 1L,Snacks & Beverages,Tea,,100.0,,
Zepto,P00144,Pure Juice 12 pcs,Snacks & Beverages,Juices,,300.0,,
Zepto,P00145,Urban Floor Cleaner 200g,Household,Floor Cleaner,,490.0,,
Zepto,P00146,Urban Coffee 6 pcs,Snacks & Beverages,Coffee,,530.0,,
Zepto,P00147,Happy Juice 500g,Snacks & Beverages,Juices,,590.0,,
Zepto,P00148,Metro Bread 200g,Dairy & Breakfast,Bread,,90.0,,
Zepto,P00149,Urban Apple 6 pcs,Fruits & Vegetables,Fruits,,180.0,,
Zepto,P00150,Green Curd 12 pcs,Dairy & Breakfast,Curd,,70.0,,
Zepto,P00151,Happy Atta 200g,Grocery & Staples,Flour,,50.0,,
Zepto,P00152,Daily Cold Drink 1kg,Snacks & Beverages,Soft Drinks,,70.0,,
Zepto,P00153,Smart Potato 12 pcs,Fruits & Vegetables,Vegetables,,250.0,,
Zepto,P00154,Good Namkeen 500g,Snacks & Beverages,Chips,,230.0,,
Zepto,P00155,Fresh Tomato 200g,Fruits & Vegetables,Vegetables,,500.0,,
Zepto,P00156,Pure Cashew 1kg,Grocery & Staples,Dry Fruits,,50.0,,
Zepto,P00157,Happy Shampoo 1kg,Personal Care,Shampoo,,120.0,,
Zepto,P00158,Good Apple 12 pcs,Fruits & Vegetables,Fruits,,120.0,,
Zepto,P00159,Pure Eggs 12 pcs,Dairy & Breakfast,Eggs,,100.0,,
Zepto,P00160,Fresh Curd 12 pcs,Dairy & Breakfast,Curd,,80.0,,
Zepto,P00161,Happy Milk 2kg,Dairy & Breakfast,Milk,,310.0,,
Zepto,P00162,Fresh Floor Cleaner 2kg,Household,Floor Cleaner,,20.0,,
Zepto,P00163,Smart Tea 500ml,Snacks & Beverages,Tea,,230.0,,
Zepto,P00164,Urban Tea 6 pcs,Snacks & Beverages,Tea,,440.0,,
Zepto,P00165,Happy Cookies 500g,Snacks & Beverages,Biscuits,,270.0,,
Zepto,P00166,Good Toothpaste 200g,Personal Care,Oral Care,,30.0,,
Zepto,P00167,Fresh Apple 1kg,Fruits & Vegetables,Fruits,,790.0,,
Zepto,P00168,Happy Atta 12 pcs,Grocery & Staples,Flour,,430.0,,
Zepto,P00169,Smart Cookies 500ml,Snacks & Beverages,Biscuits,,210.0,,
Zepto,P00170,Good Toor Dal 200g,Grocery & Staples,Pulses,,280.0,,
Zepto,P00171,Green Banana 1kg,Fruits & Vegetables,Fruits,,40.0,,
Zepto,P00172,Happy Cold Drink 500ml,Snacks & Beverages,Soft Drinks,,210.0,,
Zepto,P00173,Metro Juice 500ml,Snacks & Beverages,Juices,,130.0,,
Zepto,P00174,Daily Chocolate 500g,Snacks & Beverages,Chocolates,,570.0,,
Zepto,P00175,Urban Banana 200g,Fruits & Vegetables,Fruits,,550.0,,
Zepto,P00176,Quick Namkeen 2kg,Snacks & Beverages,Chips,,270.0,,
Zepto,P00177,Metro Atta 1kg,Grocery & Staples,Flour,,560.0,,
Zepto,P00178,Quick Curd 500g,Dairy & Breakfast,Curd,,380.0,,
Zepto,P00179,Quick Namkeen 500ml,Snacks & Beverages,Chips,,390.0,,
Zepto,P00180,Quick Cashew 1kg,Grocery & Staples,Dry Fruits,,230.0,,
Zepto,P00181,Smart Milk 200g,Dairy & Breakfast,Milk,,150.0,,
Zepto,P00182,Daily Chocolate 12 pcs,Snacks & Beverages,Chocolates,,100.0,,
Zepto,P00183,Quick Namkeen 500ml,Snacks & Beverages,Chips,,370.0,,
Zepto,P00184,Daily Cashew 500ml,Grocery & Staples,Dry Fruits,,160.0,,
Zepto,P00185,Pure Juice 200g,Snacks & Beverages,Juices,,250.0,,
Zepto,P00186,Urban Chocolate 500g,Snacks & Beverages,Chocolates,,210.0,,
Zepto,P00187,Pure Basmati Rice 12 pcs,Grocery & Staples,Rice,,130.0,,
Zepto,P00188,Green Eggs 1kg,Dairy & Breakfast,Eggs,,130.0,,
Zepto,P00189,Pure Namkeen 500ml,Snacks & Beverages,Chips,,130.0,,
Zepto,P00190,Fresh Eggs 2kg,Dairy & Breakfast,Eggs,,90.0,,
Zepto,P00191,Fresh Tea 1kg,Snacks & Beverages,Tea,,100.0,,
Zepto,P00192,Green Curd 500ml,Dairy & Breakfast,Curd,,30.0,,
Zepto,P00193,Quick Chocolate 6 pcs,Snacks & Beverages,Chocolates,,210.0,,
Zepto,P00194,Daily Chocolate 12 pcs,Snacks & Beverages,Chocolates,,100.0,,
Zepto,P00195,Smart Dishwash 2kg,Household,Dishwash,,40.0,,
Zepto,P00196,Pure Basmati Rice 500ml,Grocery & Staples,Rice,,290.0,,
Zepto,P00197,Good Toothpaste 500ml,Personal Care,Oral Care,,230.0,,
Zepto,P00198,Daily Tea 500g,Snacks & Beverages,Tea,,420.0,,
Zepto,P00199,Urban Chocolate 1kg,Snacks & Beverages,Chocolates,,700.0,,
Zepto,P00200,Smart Toor Dal 500g,Grocery & Staples,Pulses,,100.0,,
Zepto,P00201,Quick Toor Dal 2kg,Grocery & Staples,Pulses,,780.0,,
Zepto,P00202,Green Cashew 200g,Grocery & Staples,Dry Fruits,,220.0,,
Zepto,P00203,Green Bread 1kg,Dairy & Breakfast,Bread,,130.0,,
Zepto,P00204,Smart Bread 12 pcs,Dairy & Breakfast,Bread,,40.0,,
Zepto,P00205,Smart Cashew 1kg,Grocery & Staples,Dry Fruits,,110.0,,
Zepto,P00206,Pure Cookies 500ml,Snacks & Beverages,Biscuits,,130.0,,
Zepto,P00207,Quick Chocolate 1L,Snacks & Beverages,Chocolates,,500.0,,
Zepto,P00208,Urban Potato 500ml,Fruits & Vegetables,Vegetables,,240.0,,
Zepto,P00209,Urban Shampoo 6 pcs,Personal Care,Shampoo,,170.0,,
Zepto,P00210,Quick Basmati Rice 500g,Grocery & Staples,Rice,,200.0,,
Zepto,P00211,Good Potato 1L,Fruits & Vegetables,Vegetables,,560.0,,
Zepto,P00212,Green Coffee 12 pcs,Snacks & Beverages,Coffee,,530.0,,
Zepto,P00213,Pure Toothpaste 1L,Personal Care,Oral Care,,390.0,,
Zepto,P00214,Pure Dishwash 6 pcs,Household,Dishwash,,180.0,,
Zepto,P00215,Green Chocolate 500g,Snacks & Beverages,Chocolates,,250.0,,
Zepto,P00216,Green Cookies 500ml,Snacks & Beverages,Biscuits,,270.0,,
Zepto,P00217,Urban Cashew 1kg,Grocery & Staples,Dry Fruits,,50.0,,
Zepto,P00218,Good Chocolate 1kg,Snacks & Beverages,Chocolates,,260.0,,
Zepto,P00219,Smart Almonds 500ml,Grocery & Staples,Dry Fruits,,130.0,,
Zepto,P00220,Urban Tea 2kg,Snacks & Beverages,Tea,,220.0,,
Zepto,P00221,Metro Floor Cleaner 500g,Household,Floor Cleaner,,470.0,,
Zepto,P00222,Metro Toor Dal 500ml,Grocery & Staples,Pulses,,120.0,,
Zepto,P00223,Green Juice 500g,Snacks & Beverages,Juices,,350.0,,
Zepto,P00224,Pure Curd 2kg,Dairy & Breakfast,Curd,,170.0,,
Zepto,P00225,Metro Toothpaste 2kg,Personal Care,Oral Care,,470.0,,
Zepto,P00226,Quick Basmati Rice 12 pcs,Grocery & Staples,Rice,,120.0,,
Zepto,P00227,Good Milk 500ml,Dairy & Breakfast,Milk,,550.0,,
Zepto,P00228,Good Shampoo 500ml,Personal Care,Shampoo,,70.0,,
Zepto,P00229,Smart Chocolate 200g,Snacks & Beverages,Chocolates,,210.0,,
Zepto,P00230,Fresh Banana 500g,Fruits & Vegetables,Fruits,,130.0,,
Zepto,P00231,Metro Tea 1L,Snacks & Beverages,Tea,,180.0,,
Zepto,P00232,Urban Toor Dal 12 pcs,Grocery & Staples,Pulses,,110.0,,
Zepto,P00233,Metro Banana 6 pcs,Fruits & Vegetables,Fruits,,330.0,,
Zepto,P00234,Daily Almonds 12 pcs,Grocery & Staples,Dry Fruits,,230.0,,
Zepto,P00235,Quick Basmati Rice 2kg,Grocery & Staples,Rice,,60.0,,
Zepto,P00236,Quick Banana 6 pcs,Fruits & Vegetables,Fruits,,90.0,,
Zepto,P00237,Green Almonds 12 pcs,Grocery & Staples,Dry Fruits,,180.0,,
Zepto,P00238,Pure Milk 500g,Dairy & Breakfast,Milk,,110.0,,
Zepto,P00239,Daily Bread 6 pcs,Dairy & Breakfast,Bread,,170.0,,
Zepto,P00240,Daily Almonds 12 pcs,Grocery & Staples,Dry Fruits,,70.0,,
Zepto,P00241,Daily Curd 2kg,Dairy & Breakfast,Curd,,350.0,,
Zepto,P00242,Fresh Banana 1L,Fruits & Vegetables,Fruits,,110.0,,
Zepto,P00243,Good Toor Dal 2kg,Grocery & Staples,Pulses,,280.0,,
Zepto,P00244,Good Toor Dal 1kg,Grocery & Staples,Pulses,,90.0,,
Zepto,P00245,Pure Chocolate 6 pcs,Snacks & Beverages,Chocolates,,60.0,,
Zepto,P00246,Pure Apple 500g,Fruits & Vegetables,Fruits,,110.0,,
Zepto,P00247,Fresh Eggs 200g,Dairy & Breakfast,Eggs,,40.0,,
Zepto,P00248,Daily Chocolate 1kg,Snacks & Beverages,Chocolates,,20.0,,
Zepto,P00249,Quick Bread 500ml,Dairy & Breakfast,Bread,,280.0,,
Zepto,P00250,Green Banana 6 pcs,Fruits & Vegetables,Fruits,,550.0,,
Zepto,P00251,Urban Floor Cleaner 500g,Household,Floor Cleaner,,560.0,,
Zepto,P00252,Good Banana 2kg,Fruits & Vegetables,Fruits,,240.0,,
Zepto,P00253,Happy Curd 500g,Dairy & Breakfast,Curd,,160.0,,
Zepto,P00254,Metro Eggs 1L,Dairy & Breakfast,Eggs,,340.0,,
Zepto,P00255,Urban Floor Cleaner 2kg,Household,Floor Cleaner,,330.0,,
Zepto,P00256,Smart Banana 1L,Fruits & Vegetables,Fruits,,320.0,,
Zepto,P00257,Fresh Milk 200g,Dairy & Breakfast,Milk,,440.0,,
Zepto,P00258,Green Basmati Rice 12 pcs,Grocery & Staples,Rice,,220.0,,
Zepto,P00259,Metro Eggs 2kg,Dairy & Breakfast,Eggs,,130.0,,
Zepto,P00260,Good Almonds 2kg,Grocery & Staples,Dry Fruits,,310.0,,
Zepto,P00261,Smart Chocolate 6 pcs,Snacks & Beverages,Chocolates,,130.0,,
Zepto,P00262,Urban Dishwash 200g,Household,Dishwash,,180.0,,
Zepto,P00263,Daily Bread 2kg,Dairy & Breakfast,Bread,,260.0,,
Zepto,P00264,Green Potato 500ml,Fruits & Vegetables,Vegetables,,140.0,,
Zepto,P00265,Quick Cookies 1kg,Snacks & Beverages,Biscuits,,740.0,,
Zepto,P00266,Pure Curd 6 pcs,Dairy & Breakfast,Curd,,20.0,,
Zepto,P00267,Quick Juice 12 pcs,Snacks & Beverages,Juices,,200.0,,
Zepto,P00268,Fresh Eggs 500ml,Dairy & Breakfast,Eggs,,480.0,,
Zepto,P00269,Metro Dishwash 1kg,Household,Dishwash,,170.0,,
Zepto,P00270,Urban Cashew 2kg,Grocery & Staples,Dry Fruits,,220.0,,
Zepto,P00271,Quick Floor Cleaner 500ml,Household,Floor Cleaner,,170.0,,
Zepto,P00272,Green Eggs 200g,Dairy & Breakfast,Eggs,,120.0,,
Zepto,P00273,Good Namkeen 1kg,Snacks & Beverages,Chips,,70.0,,
Zepto,P00274,Smart Tea 500ml,Snacks & Beverages,Tea,,150.0,,
Zepto,P00275,Metro Tomato 1L,Fruits & Vegetables,Vegetables,,390.0,,
Zepto,P00276,Daily Cold Drink 6 pcs,Snacks & Beverages,Soft Drinks,,330.0,,
Zepto,P00277,Green Apple 12 pcs,Fruits & Vegetables,Fruits,,260.0,,
Zepto,P00278,Daily Cold Drink 1kg,Snacks & Beverages,Soft Drinks,,190.0,,
Zepto,P00279,Metro Bread 1kg,Dairy & Breakfast,Bread,,210.0,,
Zepto,P00280,Metro Coffee 500g,Snacks & Beverages,Coffee,,290.0,,
Zepto,P00281,Green Tomato 500g,Fruits & Vegetables,Vegetables,,250.0,,
Zepto,P00282,Urban Bread 12 pcs,Dairy & Breakfast,Bread,,130.0,,
Zepto,P00283,Quick Floor Cleaner 500ml,Household,Floor Cleaner,,260.0,,
Zepto,P00284,Urban Toothpaste 200g,Personal Care,Oral Care,,360.0,,
Zepto,P00285,Green Eggs 500g,Dairy & Breakfast,Eggs,,130.0,,
Zepto,P00286,Quick Namkeen 1kg,Snacks & Beverages,Chips,,180.0,,
Zepto,P00287,Smart Toothpaste 500g,Personal Care,Oral Care,,200.0,,
Zepto,P00288,Metro Milk 500g,Dairy & Breakfast,Milk,,590.0,,
Zepto,P00289,Smart Almonds 12 pcs,Grocery & Staples,Dry Fruits,,550.0,,
Zepto,P00290,Metro Shampoo 2kg,Personal Care,Shampoo,,130.0,,
Zepto,P00291,Good Dishwash 200g,Household,Dishwash,,100.0,,
Zepto,P00292,Good Toothpaste 500g,Personal Care,Oral Care,,410.0,,
Zepto,P00293,Fresh Eggs 1kg,Dairy & Breakfast,Eggs,,50.0,,
Zepto,P00294,Good Curd 500g,Dairy & Breakfast,Curd,,200.0,,
Zepto,P00295,Metro Toor Dal 6 pcs,Grocery & Staples,Pulses,,540.0,,
Zepto,P00296,Smart Tomato 200g,Fruits & Vegetables,Vegetables,,120.0,,
Zepto,P00297,Good Curd 500g,Dairy & Breakfast,Curd,,650.0,,
Zepto,P00298,Smart Apple 1kg,Fruits & Vegetables,Fruits,,390.0,,
Zepto,P00299,Smart Curd 500ml,Dairy & Breakfast,Curd,,350.0,,
Zepto,P00300,Urban Cashew 1kg,Grocery & Staples,Dry Fruits,,510.0,,
Zepto,P00301,Quick Cookies 12 pcs,Snacks & Beverages,Biscuits,,560.0,,
Zepto,P00302,Green Floor Cleaner 6 pcs,Household,Floor Cleaner,,150.0,,
Zepto,P00303,Good Toothpaste 200g,Personal Care,Oral Care,,220.0,,
Zepto,P00304,Good Cashew 2kg,Grocery & Staples,Dry Fruits,,60.0,,
Zepto,P00305,Daily Coffee 1L,Snacks & Beverages,Coffee,,290.0,,
Zepto,P00306,Pure Banana 1kg,Fruits & Vegetables,Fruits,,380.0,,
Zepto,P00307,Pure Shampoo 1kg,Personal Care,Shampoo,,90.0,,
Zepto,P00308,Happy Tomato 6 pcs,Fruits & Vegetables,Vegetables,,160.0,,
Zepto,P00309,Fresh Potato 200g,Fruits & Vegetables,Vegetables,,80.0,,
Zepto,P00310,Quick Shampoo 200g,Personal Care,Shampoo,,90.0,,
Zepto,P00311,Happy Milk 500ml,Dairy & Breakfast,Milk,,740.0,,
Zepto,P00312,Good Toor Dal 6 pcs,Grocery & Staples,Pulses,,230.0,,
Zepto,P00313,Smart Floor Cleaner 12 pcs,Household,Floor Cleaner,,260.0,,
Zepto,P00314,Smart Toothpaste 500ml,Personal Care,Oral Care,,270.0,,
Zepto,P00315,Good Bread 500g,Dairy & Breakfast,Bread,,50.0,,
Zepto,P00316,Quick Toothpaste 200g,Personal Care,Oral Care,,510.0,,
Zepto,P00317,Happy Toor Dal 500ml,Grocery & Staples,Pulses,,420.0,,
Zepto,P00318,Metro Atta 200g,Grocery & Staples,Flour,,520.0,,
Zepto,P00319,Urban Juice 500ml,Snacks & Beverages,Juices,,80.0,,
Zepto,P00320,Daily Cold Drink 1kg,Snacks & Beverages,Soft Drinks,,580.0,,
Zepto,P00321,Pure Almonds 500g,Grocery & Staples,Dry Fruits,,100.0,,
Zepto,P00322,Smart Tomato 200g,Fruits & Vegetables,Vegetables,,490.0,,
Zepto,P00323,Smart Basmati Rice 500g,Grocery & Staples,Rice,,350.0,,
