platform,delivery_id,delivery_partner_id,order_id,delivery_time_minutes,distance_km,delivery_status,order_status,actual_delivery_datetime,promised_delivery_datetime,delay_reason
Zepto,D000066,,O000066,17,3.0,On Time,,,,
Zepto,D000067,,O000067,12,2.3,On Time,,,,
Zepto,D000068,,O000068,26,3.7,On Time,,,,
Zepto,D000069,,O000069,62,6.9,On Time,,,,
Zepto,D000070,,O000070,59,7.5,On Time,,,,
Zepto,D000071,,O000071,8,0.8,On Time,,,,
Zepto,D000072,,O000072,39,4.2,Late,,,,
Zepto,D000073,,O000073,58,9.6,Late,,,,
Zepto,D000074,,O000074,32,5.6,On Time,,,,
Zepto,D000075,,O000075,64,8.2,Late,,,,
Zepto,D000076,,O000076,24,3.6,Late,,,,
Zepto,D000077,,O000077,21,4.9,On Time,,,,
Zepto,D000078,,O000078,64,7.4,Late,,,,
Zepto,D000079,,O000079,5,2.0,On Time,,,,
Zepto,D000080,,O000080,44,4.6,Late,,,,
Zepto,D000081,,O000081,26,2.2,Late,,,,
Zepto,D000082,,O000082,57,6.5,Late,,,,
Zepto,D000083,,O000083,46,8.2,On Time,,,,
Zepto,D000084,,O000084,52,7.3,On Time,,,,
Zepto,D000085,,O000085,26,2.6,Late,,,,
Zepto,D000086,,O000086,64,9.0,Late,,,,
Zepto,D000087,,O000087,59,5.1,Late,,,,
Zepto,D000088,,O000088,59,9.3,On Time,,,,
Zepto,D000089,,O000089,74,8.6,On Time,,,,
Zepto,D000090,,O000090,56,6.9,On Time,,,,
Zepto,D000091,,O000091,33,1.7,Late,,,,
Zepto,D000092,,O000092,25,3.2,On Time,,,,
Zepto,D000093,,O000093,28,3.8,On Time,,,,
Zepto,D000094,,O000094,14,1.8,On Time,,,,
Zepto,D000095,,O000095,15,0.7,Late,,,,
Zepto,D000096,,O000096,102,9.7,Late,,,,
Zepto,D000097,,O000097,69,8.2,Late,,,,
Zepto,D000098,,O000098,42,4.9,On Time,,,,
Zepto,D000099,,O000099,78,8.9,Late,,,,
Zepto,D000100,,O000100,49,6.4,Late,,,,
Zepto,D000101,,O000101,53,6.3,Late,,,,
Zepto,D000102,,O000102,63,8.2,Late,,,,
Zepto,D000103,,O000103,28,2.6,Late,,,,
Zepto,D000104,,O000104,40,3.2,Late,,,,
Zepto,D000105,,O000105,30,4.0,On Time,,,,
Zepto,D000106,,O000106,71,9.4,On Time,,,,
Zepto,D000107,,O000107,16,0.7,Late,,,,
Zepto,D000108,,O000108,36,3.8,Late,,,,
Zepto,D000109,,O000109,16,1.1,Late,,,,
Zepto,D000110,,O000110,35,5.4,On Time,,,,
Zepto,D000111,,O000111,76,9.1,On Time,,,,
Zepto,D000112,,O000112,17,1.3,Late,,,,
Zepto,D000113,,O000113,54,6.0,Late,,,,
Zepto,D000114,,O000114,24,4.0,On Time,,,,
Zepto,D000115,,O000115,85,8.9,Late,,,,
Zepto,D000116,,O000116,14,1.6,Late,,,,
Zepto,D000117,,O000117,41,7.1,On Time,,,,
Zepto,D000118,,O000118,73,9.4,On Time,,,,
Zepto,D000119,,O000119,40,2.7,Late,,,,
Zepto,D000120,,O000120,26,3.3,Late,,,,
Zepto,D000121,,O000121,70,9.2,On Time,,,,
Zepto,D000122,,O000122,26,3.7,On Time,,,,
Zepto,D000123,,O000123,42,6.1,On Time,,,,
Zepto,D000124,,O000124,9,2.7,On Time,,,,
Zepto,D000125,,O000125,56,7.2,On Time,,,,
Zepto,D000126,,O000126,34,4.0,On Time,,,,
Zepto,D000127,,O000127,21,4.6,On Time,,,,
Zepto,D000128,,O000128,38,5.2,On Time,,,,
Zepto,D000129,,O000129,52,5.9,On Time,,,,
Zepto,D000130,,O000130,35,4.0,Late,,,,
Zepto,D000131,,O000131,49,7.4,On Time,,,,
Zepto,D000132,,O000132,35,4.5,On Time,,,,
Zepto,D000133,,O000133,8,2.5,On Time,,,,
Zepto,D000134,,O000134,64,6.7,Late,,,,
Zepto,D000135,,O000135,29,4.4,On Time,,,,
Zepto,D000136,,O000136,34,2.4,Late,,,,
Zepto,D000137,,O000137,25,0.8,Late,,,,
Zepto,D000138,,O000138,37,4.7,Late,,,,
Zepto,D000139,,O000139,49,5.7,On Time,,,,
Zepto,D000140,,O000140,13,2.5,On Time,,,,
Zepto,D000141,,O000141,9,0.9,On Time,,,,
Zepto,D000142,,O000142,60,5.4,Late,,,,
Zepto,D000143,,O000143,14,1.3,On Time,,,,
Zepto,D000144,,O000144,13,0.9,Late,,,,
Zepto,D000145,,O000145,18,4.4,On Time,,,,
Zepto,D000146,,O000146,16,1.6,On Time,,,,
Zepto,D000147,,O000147,38,6.5,On Time,,,,
Zepto,D000148,,O000148,71,8.1,On Time,,,,
Zepto,D000149,,O000149,6,1.2,On Time,,,,
Zepto,D000150,,O000150,34,6.2,On Time,,,,
Zepto,D000151,,O000151,55,4.6,Late,,,,
Zepto,D000152,,O000152,37,5.1,Late,,,,
Zepto,D000153,,O000153,28,1.5,Late,,,,
Zepto,D000154,,O000154,47,5.8,Late,,,,
Zepto,D000155,,O000155,68,9.0,Late,,,,
Zepto,D000156,,O000156,40,6.2,On Time,,,,
Zepto,D000157,,O000157,19,3.8,On Time,,,,
Zepto,D000158,,O000158,5,1.1,On Time,,,,
Zepto,D000159,,O000159,21,0.9,Late,,,,
Zepto,D000160,,O000160,13,0.6,Late,,,,
Zepto,D000161,,O000161,36,6.5,On Time,,,,
Zepto,D000162,,O000162,48,4.3,Late,,,,
Zepto,D000163,,O000163,6,0.9,On Time,,,,
Zepto,D000164,,O000164,41,3.8,Late,,,,
Zepto,D000165,,O000165,39,5.7,Late,,,,
Zepto,D000166,,O000166,32,6.1,On Time,,,,
Zepto,D000167,,O000167,61,8.3,On Time,,,,
Zepto,D000168,,O000168,20,1.3,Late,,,,
Zepto,D000169,,O000169,62,8.1,On Time,,,,
Zepto,D000170,,O000170,32,4.6,On Time,,,,
Zepto,D000171,,O000171,59,8.3,On Time,,,,
Zepto,D000172,,O000172,44,4.8,Late,,,,
Zepto,D000173,,O000173,28,2.5,Late,,,,
Zepto,D000174,,O000174,48,6.4,Late,,,,
Zepto,D000175,,O000175,12,4.4,On Time,,,,
Zepto,D000176,,O000176,29,4.6,On Time,,,,
Zepto,D000177,,O000177,39,5.3,Late,,,,
Zepto,D000178,,O000178,7,1.2,On Time,,,,
Zepto,D000179,,O000179,14,4.0,On Time,,,,
Zepto,D000180,,O000180,31,3.4,Late,,,,
Zepto,D000181,,O000181,5,2.2,On Time,,,,
Zepto,D000182,,O000182,67,8.1,On Time,,,,
Zepto,D000183,,O000183,53,9.9,On Time,,,,
Zepto,D000184,,O000184,38,6.3,Late,,,,
Zepto,D000185,,O000185,67,8.8,Late,,,,
Zepto,D000186,,O000186,57,7.6,On Time,,,,
Zepto,D000187,,O000187,43,3.9,Late,,,,
Zepto,D000188,,O000188,31,2.6,Late,,,,
Zepto,D000189,,O000189,71,8.6,Late,,,,
Zepto,D000190,,O000190,39,4.7,Late,,,,
Zepto,D000191,,O000191,36,7.0,On Time,,,,
Zepto,D000192,,O000192,26,4.0,On Time,,,,
Zepto,D000193,,O000193,56,6.2,On Time,,,,
Zepto,D000194,,O000194,16,3.6,On Time,,,,
Zepto,D000195,,O000195,35,3.7,Late,,,,
Zepto,D000196,,O000196,67,8.8,On Time,,,,
Zepto,D000197,,O000197,25,5.2,On Time,,,,
Zepto,D000198,,O000198,20,1.5,Late,,,,
Zepto,D000199,,O000199,62,9.3,On Time,,,,
Zepto,D000200,,O000200,16,0.7,Late,,,,
Zepto,D000201,,O000201,52,7.2,On Time,,,,
Zepto,D000202,,O000202,35,5.5,Late,,,,
Zepto,D000203,,O000203,6,1.6,On Time,,,,
Zepto,D000204,,O000204,19,3.5,On Time,,,,
Zepto,D000205,,O000205,35,8.0,On Time,,,,
Zepto,D000206,,O000206,56,7.7,On Time,,,,
Zepto,D000207,,O000207,52,6.4,Late,,,,
Zepto,D000208,,O000208,13,3.0,On Time,,,,
Zepto,D000209,,O000209,44,4.7,Late,,,,
Zepto,D000210,,O000210,54,6.5,Late,,,,
Zepto,D000211,,O000211,54,6.3,On Time,,,,
Zepto,D000212,,O000212,57,8.7,On Time,,,,
Zepto,D000213,,O000213,30,7.5,On Time,,,,
Zepto,D000214,,O000214,30,4.3,On Time,,,,
Zepto,D000215,,O000215,18,4.7,On Time,,,,
Zepto,D000216,,O000216,20,1.1,Late,,,,
Zepto,D000217,,O000217,19,0.6,Late,,,,
Zepto,D000218,,O000218,68,7.6,On Time,,,,
Zepto,D000219,,O000219,34,4.8,On Time,,,,
Zepto,D000220,,O000220,78,9.5,On Time,,,,
Zepto,D000221,,O000221,56,9.4,Late,,,,
Zepto,D000222,,O000222,27,1.3,Late,,,,
Zepto,D000223,,O000223,5,0.9,On Time,,,,
Zepto,D000224,,O000224,10,0.6,Late,,,,
Zepto,D000225,,O000225,21,1.0,Late,,,,
Zepto,D000226,,O000226,7,2.0,On Time,,,,
Zepto,D000227,,O000227,48,6.7,Late,,,,
Zepto,D000228,,O000228,36,6.6,On Time,,,,
Zepto,D000229,,O000229,45,3.8,Late,,,,
Zepto,D000230,,O000230,40,3.4,Late,,,,
Zepto,D000231,,O000231,56,8.5,On Time,,,,
Zepto,D000232,,O000232,41,5.2,On Time,,,,
Zepto,D000233,,O000233,67,7.1,Late,,,,
Zepto,D000234,,O000234,63,9.5,Late,,,,
Zepto,D000235,,O000235,25,3.4,On Time,,,,
Zepto,D000236,,O000236,59,9.5,Late,,,,
Zepto,D000237,,O000237,5,1.3,On Time,,,,
Zepto,D000238,,O000238,71,7.6,Late,,,,
Zepto,D000239,,O000239,35,5.5,On Time,,,,
Zepto,D000240,,O000240,83,9.1,Late,,,,
Zepto,D000241,,O000241,65,9.5,On Time,,,,
Zepto,D000242,,O000242,16,4.9,On Time,,,,
Zepto,D000243,,O000243,21,2.6,On Time,,,,
Zepto,D000244,,O000244,46,6.1,Late,,,,
Zepto,D000245,,O000245,64,8.8,On Time,,,,
Zepto,D000246,,O000246,41,4.3,Late,,,,
Zepto,D000247,,O000247,50,4.9,Late,,,,
Zepto,D000248,,O000248,9,1.8,On Time,,,,
Zepto,D000249,,O000249,12,1.8,On Time,,,,
Zepto,D000250,,O000250,41,6.0,On Time,,,,
Zepto,D000251,,O000251,20,1.8,Late,,,,
Zepto,D000252,,O000252,45,6.5,On Time,,,,
Zepto,D000253,,O000253,16,3.2,On Time,,,,
Zepto,D000254,,O000254,26,6.6,On Time,,,,
Zepto,D000255,,O000255,25,2.1,Late,,,,
Zepto,D000256,,O000256,41,6.2,On Time,,,,
Zepto,D000257,,O000257,57,9.0,On Time,,,,
Zepto,D000258,,O000258,20,2.8,On Time,,,,
Zepto,D000259,,O000259,44,7.2,Late,,,,
Zepto,D000260,,O000260,38,6.8,On Time,,,,
Zepto,D000261,,O000261,35,5.7,On Time,,,,
Zepto,D000262,,O000262,57,9.7,Late,,,,
Zepto,D000263,,O000263,61,8.0,On Time,,,,
Zepto,D000264,,O000264,42,6.3,On Time,,,,
Zepto,D000265,,O000265,51,7.0,Late,,,,
Zepto,D000266,,O000266,23,2.3,On Time,,,,
Zepto,D000267,,O000267,58,8.2,On Time,,,,
Zepto,D000268,,O000268,62,7.7,Late,,,,
Zepto,D000269,,O000269,19,2.5,On Time,,,,
Zepto,D000270,,O000270,10,0.6,Late,,,,
Zepto,D000271,,O000271,72,7.2,Late,,,,
Zepto,D000272,,O000272,29,3.9,On Time,,,,
Zepto,D000273,,O000273,38,4.4,On Time,,,,
Zepto,D000274,,O000274,43,4.6,Late,,,,
Zepto,D000275,,O000275,13,2.1,On Time,,,,
Zepto,D000276,,O000276,21,0.9,Late,,,,
Zepto,D000277,,O000277,5,1.2,On Time,,,,
Zepto,D000278,,O000278,9,2.1,On Time,,,,
Zepto,D000279,,O000279,27,2.0,Late,,,,
Zepto,D000280,,O000280,33,4.0,Late,,,,
Zepto,D000281,,O000281,50,6.8,Late,,,,
Zepto,D000282,,O000282,21,4.2,On Time,,,,
Zepto,D000283,,O000283,13,3.7,On Time,,,,
Zepto,D000284,,O000284,22,5.1,On Time,,,,
Zepto,D000285,,O000285,39,5.1,On Time,,,,
Zepto,D000286,,O000286,28,2.8,Late,,,,
Zepto,D000287,,O000287,43,6.9,On Time,,,,
Zepto,D000288,,O000288,43,5.2,Late,,,,
Zepto,D000289,,O000289,82,7.8,Late,,,,
Zepto,D000290,,O000290,68,7.9,On Time,,,,
Zepto,D000291,,O000291,16,3.9,On Time,,,,
Zepto,D000292,,O000292,59,9.7,On Time,,,,
Zepto,D000293,,O000293,9,1.2,On Time,,,,
Zepto,D000294,,O000294,41,2.9,Late,,,,
Zepto,D000295,,O000295,84,8.9,Late,,,,
Zepto,D000296,,O000296,27,2.3,Late,,,,
Zepto,D000297,,O000297,9,0.7,Late,,,,
Zepto,D000298,,O000298,8,1.6,On Time,,,,
Zepto,D000299,,O000299,42,9.5,On Time,,,,
Zepto,D000300,,O000300,65,9.7,On Time,,,,
Zepto,D000301,,O000301,73,6.8,Late,,,,
Zepto,D000302,,O000302,28,5.2,On Time,,,,
Zepto,D000303,,O000303,5,2.0,On Time,,,,
Zepto,D000304,,O000304,22,0.6,Late,,,,
Zepto,D000305,,O000305,57,7.7,On Time,,,,
Zepto,D000306,,O000306,34,2.3,Late,,,,
Zepto,D000307,,O000307,39,3.2,Late,,,,
Zepto,D000308,,O000308,45,5.8,Late,,,,
Zepto,D000309,,O000309,43,6.9,On Time,,,,
Zepto,D000310,,O000310,78,7.1,Late,,,,
Zepto,D000311,,O000311,7,1.0,On Time,,,,
Zepto,D000312,,O000312,33,2.3,Late,,,,
Zepto,D000313,,O000313,10,2.3,On Time,,,,
Zepto,D000314,,O000314,53,7.2,On Time,,,,
Zepto,D000315,,O000315,70,7.2,Late,,,,
Zepto,D000316,,O000316,57,7.2,On Time,,,,
Zepto,D000317,,O000317,36,2.2,Late,,,,
Zepto,D000318,,O000318,32,5.1,Late,,,,
Zepto,D000319,,O000319,58,5.6,Late,,,,
Zepto,D000320,,O000320,27,5.2,On Time,,,,
Zepto,D000321,,O000321,68,9.2,Late,,,,
Zepto,D000322,,O000322,38,7.3,On Time,,,,
Zepto,D000323,,O000323,32,3.1,Late,,,,
Zepto,D000324,,O000324,31,2.2,Late,,,,
Zepto,D000325,,O000325,5,1.2,On Time,,,,
Zepto,D000326,,O000326,37,4.6,Late,,,,
Zepto,D000327,,O000327,14,4.0,On Time,,,,
Zepto,D000328,,O000328,51,8.2,On Time,,,,
Zepto,D000329,,O000329,58,5.1,Late,,,,
Zepto,D000330,,O000330,41,4.9,On Time,,,,
Zepto,D000331,,O000331,9,0.9,On Time,,,,
Zepto,D000332,,O000332,7,1.3,On Time,,,,
Zepto,D000333,,O000333,35,4.5,On Time,,,,
Zepto,D000334,,O000334,56,8.6,On Time,,,,
Zepto,D000335,,O000335,33,4.6,On Time,,,,
Zepto,D000336,,O000336,18,2.9,On Time,,,,
Zepto,D000337,,O000337,69,9.7,On Time,,,,
Zepto,D000338,,O000338,22,4.3,On Time,,,,
Zepto,D000339,,O000339,36,6.9,On Time,,,,
Zepto,D000340,,O000340,67,7.8,On Time,,,,
Zepto,D000341,,O000341,92,9.0,Late,,,,
Zepto,D000342,,O000342,5,1.0,On Time,,,,
Zepto,D000343,,O000343,65,6.3,Late,,,,
Zepto,D000344,,O000344,70,8.0,Late,,,,
Zepto,D000345,,O000345,35,3.9,On Time,,,,
Zepto,D000346,,O000346,85,9.4,On Time,,,,
Zepto,D000347,,O000347,62,7.1,On Time,,,,
Zepto,D000348,,O000348,23,2.4,Late,,,,
Zepto,D000349,,O000349,58,9.0,On Time,,,,
Zepto,D000350,,O000350,5,0.5,On Time,,,,
Zepto,D000351,,O000351,89,9.1,Late,,,,
Zepto,D000352,,O000352,10,0.6,Late,,,,
Zepto,D000353,,O000353,71,6.6,Late,,,,
Zepto,D000354,,O000354,72,8.2,On Time,,,,
Zepto,D000355,,O000355,23,2.3,Late,,,,
Zepto,D000356,,O000356,47,6.3,Late,,,,
Zepto,D000357,,O000357,68,8.0,Late,,,,
Zepto,D000358,,O000358,52,4.8,Late,,,,
Zepto,D000359,,O000359,39,5.2,On Time,,,,
Zepto,D000360,,O000360,7,1.1,On Time,,,,
Zepto,D000361,,O000361,28,2.9,Late,,,,
Zepto,D000362,,O000362,45,6.5,On Time,,,,
Zepto,D000363,,O000363,33,2.4,Late,,,,
Zepto,D000364,,O000364,14,3.1,On Time,,,,
Zepto,D000365,,O000365,39,4.0,Late,,,,
Zepto,D000366,,O000366,45,6.3,On Time,,,,
Zepto,D000367,,O000367,65,6.0,Late,,,,
Zepto,D000368,,O000368,53,5.8,Late,,,,
Zepto,D000369,,O000369,52,7.1,Late,,,,
Zepto,D000370,,O000370,20,2.2,On Time,,,,
Zepto,D000371,,O000371,83,9.8,Late,,,,
Zepto,D000372,,O000372,8,1.2,On Time,,,,
Zepto,D000373,,O000373,18,3.7,On Time,,,,
Zepto,D000374,,O000374,43,5.3,Late,,,,
Zepto,D000375,,O000375,26,4.0,On Time,,,,
Zepto,D000376,,O000376,19,2.8,On Time,,,,
Zepto,D000377,,O000377,45,3.4,Late,,,,
Zepto,D000378,,O000378,38,5.3,On Time,,,,
Zepto,D000379,,O000379,16,1.3,Late,,,,
Zepto,D000380,,O000380,9,2.5,On Time,,,,
Zepto,D000381,,O000381,32,3.2,Late,,,,
Zepto,D000382,,O000382,69,8.7,Late,,,,
Zepto,D000383,,O000383,72,7.4,Late,,,,
Zepto,D000384,,O000384,29,3.5,On Time,,,,
Zepto,D000385,,O000385,55,8.6,On Time,,,,
Zepto,D000386,,O000386,44,6.6,On Time,,,,
Zepto,D000387,,O000387,12,1.0,Late,,,,
Zepto,D000388,,O000388,69,9.0,Late,,,,
Zepto,D000389,,O000389,79,8.1,Late,,,,
Zepto,D000390,,O000390,46,9.9,On Time,,,,
Zepto,D000391,,O000391,89,9.0,Late,,,,
Zepto,D000392,,O000392,58,7.3,On Time,,,,
Zepto,D000393,,O000393,78,7.7,Late,,,,
Zepto,D000394,,O000394,61,9.9,On Time,,,,
Zepto,D000395,,O000395,47,6.7,On Time,,,,
Zepto,D000396,,O000396,23,2.6,On Time,,,,
Zepto,D000397,,O000397,70,7.0,Late,,,,
Zepto,D000398,,O000398,62,7.9,Late,,,,
Zepto,D000399,,O000399,68,7.6,Late,,,,
Zepto,D000400,,O000400,42,4.3,Late,,,,
Zepto,D000401,,O000401,39,4.4,Late,,,,
Zepto,D000402,,O000402,13,0.6,Late,,,,
Zepto,D000403,,O000403,26,5.8,On Time,,,,
Zepto,D000404,,O000404,91,9.9,Late,,,,
Zepto,D000405,,O000405,29,2.3,Late,,,,
Zepto,D000406,,O000406,22,3.0,On Time,,,,
Zepto,D000407,,O000407,61,8.3,Late,,,,
Zepto,D000408,,O000408,59,6.8,Late,,,,
Zepto,D000409,,O000409,54,6.9,On Time,,,,
Zepto,D000410,,O000410,69,9.1,Late,,,,
Zepto,D000411,,O000411,81,8.7,Late,,,,
Zepto,D000412,,O000412,23,2.8,On Time,,,,
Zepto,D000413,,O000413,65,5.8,Late,,,,
Zepto,D000414,,O000414,31,1.5,Late,,,,
Zepto,D000415,,O000415,64,8.7,On Time,,,,
Zepto,D000416,,O000416,14,2.9,On Time,,,,
Zepto,D000417,,O000417,18,2.9,On Time,,,,
Zepto,D000418,,O000418,19,3.7,On Time,,,,
Zepto,D000419,,O000419,26,1.3,Late,,,,
Zepto,D000420,,O000420,36,5.4,On Time,,,,
Zepto,D000421,,O000421,48,6.4,Late,,,,
Zepto,D000422,,O000422,31,2.0,Late,,,,
Zepto,D000423,,O000423,37,4.2,Late,,,,
Zepto,D000424,,O000424,79,7.7,Late,,,,
Zepto,D000425,,O000425,59,8.8,On Time,,,,
Zepto,D000426,,O000426,40,5.1,On Time,,,,
Zepto,D000427,,O000427,54,5.7,Late,,,,
Zepto,D000428,,O000428,61,9.9,On Time,,,,
Zepto,D000429,,O000429,30,5.6,On Time,,,,
Zepto,D000430,,O000430,36,3.8,Late,,,,
Zepto,D000431,,O000431,45,7.2,On Time,,,,
Zepto,D000432,,O000432,62,9.6,Late,,,,
Zepto,D000433,,O000433,52,7.4,On Time,,,,
Zepto,D000434,,O000434,38,5.3,Late,,,,
Zepto,D000435,,O000435,17,3.4,On Time,,,,
Zepto,D000436,,O000436,34,6.9,On Time,,,,
Zepto,D000437,,O000437,32,4.9,On Time,,,,
Zepto,D000438,,O000438,24,4.0,On Time,,,,
Zepto,D000439,,O000439,30,4.2,On Time,,,,
Zepto,D000440,,O000440,50,6.7,On Time,,,,
Zepto,D000441,,O000441,33,4.3,On Time,,,,
Zepto,D000442,,O000442,15,2.2,On Time,,,,
Zepto,D000443,,O000443,65,9.0,Late,,,,
Zepto,D000444,,O000444,42,5.9,On Time,,,,
Zepto,D000445,,O000445,15,2.0,On Time,,,,
Zepto,D000446,,O000446,63,9.4,On Time,,,,
Zepto,D000447,,O000447,44,8.3,On Time,,,,
Zepto,D000448,,O000448,5,1.4,On Time,,,,
Zepto,D000449,,O000449,20,2.0,On Time,,,,
Zepto,D000450,,O000450,52,7.1,Late,,,,
Zepto,D000451,,O000451,78,9.2,Late,,,,
Zepto,D000452,,O000452,61,6.3,Late,,,,
Zepto,D000453,,O000453,40,4.4,On Time,,,,
Zepto,D000454,,O000454,44,5.0,Late,,,,
Zepto,D000455,,O000455,33,4.4,Late,,,,
Zepto,D000456,,O000456,22,2.4,Late,,,,
Zepto,D000457,,O000457,96,9.7,Late,,,,
Zepto,D000458,,O000458,67,8.0,On Time,,,,
Zepto,D000459,,O000459,42,4.7,Late,,,,
Zepto,D000460,,O000460,19,0.6,Late,,,,
Zepto,D000461,,O000461,71,9.0,On Time,,,,
Zepto,D000462,,O000462,45,9.3,On Time,,,,
Zepto,D000463,,O000463,80,9.2,Late,,,,
Zepto,D000464,,O000464,53,7.1,Late,,,,
Zepto,D000465,,O000465,40,6.0,Late,,,,
Zepto,D000466,,O000466,14,0.9,Late,,,,
Zepto,D000467,,O000467,31,6.1,On Time,,,,
Zepto,D000468,,O000468,55,8.2,Late,,,,
Zepto,D000469,,O000469,78,9.1,Late,,,,
Zepto,D000470,,O000470,68,8.2,Late,,,,
Zepto,D000471,,O000471,44,7.2,On Time,,,,
Zepto,D000472,,O000472,71,9.8,Late,,,,
Zepto,D000473,,O000473,12,1.5,On Time,,,,
Zepto,D000474,,O000474,32,4.3,Late,,,,
Zepto,D000475,,O000475,20,6.0,On Time,,,,
Zepto,D000476,,O000476,48,8.3,On Time,,,,
Zepto,D000477,,O000477,25,5.9,On Time,,,,
Zepto,D000478,,O000478,78,8.7,Late,,,,
Zepto,D000479,,O000479,38,6.3,On Time,,,,
Zepto,D000480,,O000480,39,3.7,Late,,,,
Zepto,D000481,,O000481,48,9.0,On Time,,,,
Zepto,D000482,,O000482,60,6.1,Late,,,,
Zepto,D000483,,O000483,34,2.1,Late,,,,
Zepto,D000484,,O000484,33,6.5,On Time,,,,
Zepto,D000485,,O000485,39,4.5,On Time,,,,
Zepto,D000486,,O000486,64,7.3,Late,,,,
Zepto,D000487,,O000487,5,0.6,On Time,,,,
Zepto,D000488,,O000488,30,4.7,On Time,,,,
Zepto,D000489,,O000489,44,5.8,On Time,,,,
Zepto,D000490,,O000490,35,2.9,Late,,,,
Zepto,D000491,,O000491,61,6.2,Late,,,,
Zepto,D000492,,O000492,46,7.8,On Time,,,,
Zepto,D000493,,O000493,35,3.7,Late,,,,
Zepto,D000494,,O000494,55,7.9,On Time,,,,
Zepto,D000495,,O000495,36,4.7,On Time,,,,
Zepto,D000496,,O000496,7,1.5,On Time,,,,
Zepto,D000497,,O000497,39,4.3,Late,,,,
Zepto,D000498,,O000498,31,3.3,Late,,,,
Zepto,D000499,,O000499,57,8.5,On Time,,,,
Zepto,D000500,,O000500,87,9.8,On Time,,,,
Zepto,D000501,,O000501,33,2.6,Late,,,,
Zepto,D000502,,O000502,90,9.2,Late,,,,
Zepto,D000503,,O000503,72,9.0,Late,,,,
